time,one_d_volume,two_d_volume,system_volume,system_volume_change,system_mass_error,current_exchange_volume,cumulative_exchange_volume,exchange_count
2.0,804.6240844726562,649.4030755277506,1454.0271600004069,24.111135364566508,24.111135364566508,13.719696964717523,13.719696964717523,1
4.0,798.3976440429688,689.1315739559642,1487.5292179989328,57.61319336309259,57.61319336309248,13.966733611593822,27.686430576311345,2
6.0,791.4622802734375,728.9244572275622,1520.3867375009997,90.47071286515938,90.47071286515938,13.914434322881155,41.6008648991925,3
8.0,784.2642211914062,768.3048875194888,1552.569108710895,122.65308407505472,122.65308407505472,13.739389361938693,55.34025426113119,4
10.0,776.9986572265625,807.1446342525137,1584.1432914790762,154.22726684323584,154.22726684323584,13.545418688098664,68.88567294922986,5
12.0,769.7998046875,845.4197837297173,1615.2195884172174,185.30356378137697,185.30356378137708,13.346596859995513,82.23226980922537,6
14.0,762.7220458984375,883.1343714659946,1645.8564173644322,215.94039272859175,215.94039272859186,13.151275323597558,95.38354513282293,7
16.0,755.78955078125,920.3490035110751,1676.1385542923251,246.22252965648477,246.22252965648477,12.983069846504943,108.36661497932788,8
18.0,749.0125732421875,957.146370349744,1706.1589435919313,276.2429189560911,276.242918956091,12.844414575877217,121.2110295552051,9
20.0,742.3890380859375,993.5911238026488,1735.9801618885863,306.0641372527459,306.0641372527459,12.726080086063126,133.93710964126822,10
22.0,735.9031372070312,1029.8018021686175,1765.7049393756488,335.78891473980843,335.78891473980843,12.656289875431034,146.59339951669926,11
24.0,729.5272216796875,1065.9049509546594,1795.432172634347,365.51614799850654,365.51614799850654,12.62937280834241,159.22277232504166,12
26.0,723.2256469726562,1102.036335654309,1825.2619826269652,395.3459579911248,395.3459579911248,12.651521923722129,171.8742942487638,13
28.0,716.9362182617188,1138.335818162876,1855.2720364245947,425.35601178875436,425.35601178875436,12.722584529423845,184.59687877818763,14
30.0,710.6282348632812,1174.9468764988505,1885.5751113621318,455.65908672629143,455.65908672629143,12.844299046980085,197.44117782516773,15
32.0,704.2508544921875,1212.0038213645514,1916.254675856739,486.33865122089856,486.33865122089856,13.011807921667328,210.45298574683505,16
34.0,697.7503051757812,1249.5306139442873,1947.2809191200686,517.3648944842282,517.3648944842282,13.175233896654719,223.62821964348979,17
36.0,691.1331787109375,1287.5596582834323,1978.6928369943698,548.7768123585295,548.7768123585295,13.355142726049145,236.98336236953892,18
38.0,684.3873291015625,1326.1096503887602,2010.4969794903227,580.5809548544823,580.5809548544823,13.538282073803279,250.5216444433422,19
40.0,677.5104370117188,1365.1313421716623,2042.641779183381,612.7257545475406,612.7257545475406,13.697362140753421,264.2190065840956,20
42.0,670.5203247070312,1404.5505605046544,2075.070885211686,645.1548605758453,645.1548605758455,13.829847841811484,278.0488544259071,21
44.0,663.4417724609375,1444.2869302310692,2107.7287026920067,677.8126780561663,677.8126780561663,13.93368992505645,291.98254435096356,22
46.0,656.3023681640625,1484.2387787876596,2140.541146951722,710.6251223158818,710.6251223158818,13.999632684723377,305.98217703568696,23
48.0,649.1341552734375,1524.305742652727,2173.4398979261646,743.5238732903242,743.5238732903242,14.031372242123942,320.0135492778109,24
50.0,641.9672241210938,1564.4063169980368,2206.3735411191306,776.4575164832902,776.4575164832902,14.036477280436253,334.05002655824717,25
52.0,634.8269653320312,1604.456759682695,2239.2837250147263,809.367700378886,809.367700378886,14.011380826028166,348.06140738427536,26
54.0,627.742431640625,1644.3805692817868,2272.123000922412,842.2069762865715,842.2069762865715,13.960650870899926,362.0220582551753,27
56.0,620.7364501953125,1684.0917885289848,2304.828238724297,874.912214088457,874.9122140884567,13.878352025058899,375.9004102802342,28
58.0,613.835693359375,1723.5308851151954,2337.3665784745704,907.45055383873,907.45055383873,13.778794398544903,389.6792046787791,29
60.0,607.056884765625,1762.658008500348,2369.714893265973,939.7988686301326,939.7988686301326,13.666392780222676,403.3455974590018,30
62.0,600.4139404296875,1801.4106811402562,2401.8246215699437,971.9085969341033,971.9085969341033,13.529116305215947,416.87471376421774,31
64.0,593.9259033203125,1839.700354410277,2433.6262577305897,1003.7102330947491,1003.7102330947494,13.358808757604306,430.23352252182207,32
66.0,587.6139526367188,1877.5280742818186,2465.1420269185373,1035.226002282697,1035.226002282697,13.199999687517685,443.43352220933974,33
68.0,581.4768676757812,1914.7916915300568,2496.268559205838,1066.3525345699977,1066.3525345699975,12.989688153338486,456.4232103626782,34
70.0,575.5423583984375,1951.4615850385724,2527.00394343701,1097.0879188011695,1097.0879188011697,12.78272091952825,469.20593128220645,35
72.0,569.810791015625,1987.540449402059,2557.351240417684,1127.4352157818437,1127.4352157818437,12.5758963964506,481.78182767865707,36
74.0,564.28125,2023.0545025618972,2587.335752561897,1157.4197279260568,1157.4197279260568,12.381259342440952,494.163087021098,37
76.0,558.9472045898438,2057.9434792842467,2616.8906838740904,1186.97465923825,1186.97465923825,12.154436022949634,506.3175230440477,38
78.0,553.8215942382812,2092.2153570739565,2646.0369513122378,1216.1209266763974,1216.1209266763974,11.942064294214232,518.2595873382619,39
80.0,548.895751953125,2125.860206559719,2674.755958512844,1244.8399338770034,1244.8399338770034,11.72024166195181,529.9798290002137,40
