time,one_d_volume,two_d_volume,system_volume,system_volume_change,system_mass_error,current_exchange_volume,cumulative_exchange_volume,exchange_count
5.0,1067.48291015625,2354.8106550325747,3422.2935651888247,-18.186017147093025,-18.186017147093025,11.931536563846253,11.931536563846253,1
10.0,1037.71826171875,2362.250249971262,3399.968511690012,-40.511070645905875,-40.511070645905875,7.439595010474451,19.371131574320703,2
15.0,1010.78466796875,2368.7760944152897,3379.5607623840397,-60.91881995187805,-60.91881995187805,6.52585373594632,25.896985310267024,3
20.0,988.207763671875,2375.850784815384,3364.058548487259,-76.42103384865868,-76.42103384865868,7.074901607005922,32.97188691727295,4
25.0,969.4646606445312,2383.3606330910375,3352.8252937355687,-87.65428860034899,-87.65428860034899,7.512040359191802,40.48392727646475,5
30.0,951.1341552734375,2390.651077511503,3341.7852327849405,-98.69434955097722,-98.69434955097722,7.304248731582713,47.78817600804746,6
35.0,930.0587158203125,2397.1067903098774,3327.16550613019,-113.31407620572782,-113.31407620572782,6.515498497337264,54.30367450538472,7
40.0,906.2174682617188,2401.73118696337,3307.9486552250887,-132.530927110829,-132.530927110829,4.826861936275959,59.13053644166068,8
45.0,881.379150390625,2403.4951653751805,3284.8743157658055,-155.60526657011224,-155.60526657011224,2.344580154422134,61.47511659608281,9
50.0,856.0914306640625,2402.4719700119194,3258.563400675982,-181.91618165993577,-181.91618165993577,0.32407349736641955,61.79919009344923,10
55.0,829.4305419921875,2400.223907475721,3229.6544494679083,-210.8251328680094,-210.8251328680094,0.0,61.79919009344923,11
60.0,802.1903076171875,2397.3499770912567,3199.5402847084442,-240.93929762747348,-240.93929762747348,0.0,61.79919009344923,12
65.0,775.6727905273438,2394.152761244552,3169.825551771896,-270.6540305640219,-270.6540305640219,0.0,61.79919009344923,13
70.0,751.1195678710938,2390.8918619550223,3142.011429826116,-298.4681525098017,-298.4681525098017,0.0,61.79919009344923,14
75.0,729.1339721679688,2387.7544036259524,3116.888375793921,-323.5912065419966,-323.5912065419966,0.0,61.79919009344923,15
80.0,709.5032348632812,2384.860854010698,3094.364088873979,-346.1154934619385,-346.1154934619385,0.0,61.79919009344923,16
