t,stage_ref,stage_case,diff,threshold,ref_crossing_time,case_crossing_time,arrival_time_diff
0.0,0.98,0.98,0.0,0.98,0.0,0.0,0.0
0.5,0.976516663044475,0.976516663044475,0.0,0.98,0.0,0.0,0.0
1.0,0.9732061559554382,0.9732061559554382,0.0,0.98,0.0,0.0,0.0
1.5,0.9700623479459729,0.9700623479459729,0.0,0.98,0.0,0.0,0.0
2.0,0.9670978910099504,0.9670978910099504,0.0,0.98,0.0,0.0,0.0
2.5,0.9643078552703528,0.9643078552703528,0.0,0.98,0.0,0.0,0.0
3.0,0.9616878064452291,0.9616878064452291,0.0,0.98,0.0,0.0,0.0
3.5,0.9592334705801691,0.9592334705801691,0.0,0.98,0.0,0.0,0.0
4.0,0.9569402638679879,0.9569402638679879,0.0,0.98,0.0,0.0,0.0
4.5,0.954806298333496,0.954806298333496,0.0,0.98,0.0,0.0,0.0
5.0,0.9528256962141598,0.9528256962141598,0.0,0.98,0.0,0.0,0.0
5.5,0.9509884123966902,0.9509884123966902,0.0,0.98,0.0,0.0,0.0
6.0,0.9492862294934534,0.9492862294934534,0.0,0.98,0.0,0.0,0.0
6.5,0.9477107086453034,0.9477107086453034,0.0,0.98,0.0,0.0,0.0
7.0,0.9462576146854514,0.9462576146854514,0.0,0.98,0.0,0.0,0.0
7.5,0.9449139914936193,0.9449139914936193,0.0,0.98,0.0,0.0,0.0
8.0,0.9436688137959028,0.9436688137959028,0.0,0.98,0.0,0.0,0.0
8.5,0.9425121103369375,0.9425121103369375,0.0,0.98,0.0,0.0,0.0
9.0,0.9414342234190819,0.9414342234190819,0.0,0.98,0.0,0.0,0.0
9.5,0.9404256987572497,0.9404256987572497,0.0,0.98,0.0,0.0,0.0
10.0,0.9394733903514292,0.9394733903514292,0.0,0.98,0.0,0.0,0.0
10.5,0.9385670458585738,0.9385670458585738,0.0,0.98,0.0,0.0,0.0
11.0,0.9376967106945577,0.9376967106945577,0.0,0.98,0.0,0.0,0.0
11.5,0.9368536815279936,0.9368536815279936,0.0,0.98,0.0,0.0,0.0
12.0,0.9360286728918845,0.9360286728918845,0.0,0.98,0.0,0.0,0.0
12.5,0.9352133444027395,0.9352133444027395,0.0,0.98,0.0,0.0,0.0
13.0,0.9343999607560056,0.9343999607560056,0.0,0.98,0.0,0.0,0.0
13.5,0.9335819806001309,0.9335819806001309,0.0,0.98,0.0,0.0,0.0
14.0,0.9327532963598347,0.9327532963598347,0.0,0.98,0.0,0.0,0.0
14.5,0.9319090846128587,0.9319090846128587,0.0,0.98,0.0,0.0,0.0
15.0,0.9310446793452386,0.9310446793452386,0.0,0.98,0.0,0.0,0.0
15.5,0.9301565942825224,0.9301565942825224,0.0,0.98,0.0,0.0,0.0
16.0,0.9292421217448149,0.9292421217448149,0.0,0.98,0.0,0.0,0.0
16.5,0.9282978346615781,0.9282978346615781,0.0,0.98,0.0,0.0,0.0
17.0,0.9273236642693616,0.9273236642693616,0.0,0.98,0.0,0.0,0.0
17.5,0.9263195938966126,0.9263195938966126,0.0,0.98,0.0,0.0,0.0
18.0,0.9252857732563775,0.9252857732563775,0.0,0.98,0.0,0.0,0.0
18.5,0.924222103557745,0.924222103557745,0.0,0.98,0.0,0.0,0.0
19.0,0.9231304065667555,0.9231304065667555,0.0,0.98,0.0,0.0,0.0
19.5,0.9220129185467926,0.9220129185467926,0.0,0.98,0.0,0.0,0.0
20.0,0.9208721198813516,0.9208721198813516,0.0,0.98,0.0,0.0,0.0
20.5,0.919710696146903,0.919710696146903,0.0,0.98,0.0,0.0,0.0
21.0,0.9185319067667452,0.9185319067667452,0.0,0.98,0.0,0.0,0.0
21.5,0.9173396139143819,0.9173396139143819,0.0,0.98,0.0,0.0,0.0
22.0,0.9161373377814885,0.9161373377814885,0.0,0.98,0.0,0.0,0.0
22.5,0.9149287728135183,0.9149287728135183,0.0,0.98,0.0,0.0,0.0
23.0,0.9137178771864165,0.9137178771864165,0.0,0.98,0.0,0.0,0.0
23.5,0.9125086458759972,0.9125086458759972,0.0,0.98,0.0,0.0,0.0
24.0,0.911304392059703,0.911304392059703,0.0,0.98,0.0,0.0,0.0
24.5,0.9101082132688549,0.9101082132688549,0.0,0.98,0.0,0.0,0.0
25.0,0.9089235864508453,0.9089235864508453,0.0,0.98,0.0,0.0,0.0
25.5,0.907753196033845,0.907753196033845,0.0,0.98,0.0,0.0,0.0
26.0,0.9065994694782527,0.9065994694782527,0.0,0.98,0.0,0.0,0.0
26.5,0.9054646182068224,0.9054646182068224,0.0,0.98,0.0,0.0,0.0
27.0,0.904351065424517,0.904351065424517,0.0,0.98,0.0,0.0,0.0
27.5,0.9032595413040301,0.9032595413040301,0.0,0.98,0.0,0.0,0.0
28.0,0.9021904202694825,0.9021904202694825,0.0,0.98,0.0,0.0,0.0
28.5,0.901143446559101,0.901143446559101,0.0,0.98,0.0,0.0,0.0
29.0,0.9001176628884556,0.9001176628884556,0.0,0.98,0.0,0.0,0.0
29.5,0.8991119810666008,0.8991119810666008,0.0,0.98,0.0,0.0,0.0
30.0,0.8981238666932251,0.8981238666932251,0.0,0.98,0.0,0.0,0.0
30.5,0.8971499529555528,0.8971499529555528,0.0,0.98,0.0,0.0,0.0
31.0,0.8961866351506586,0.8961866351506586,0.0,0.98,0.0,0.0,0.0
31.5,0.8952300925213345,0.8952300925213345,0.0,0.98,0.0,0.0,0.0
32.0,0.8942755610103869,0.8942755610103869,0.0,0.98,0.0,0.0,0.0
32.5,0.8933180411573151,0.8933180411573151,0.0,0.98,0.0,0.0,0.0
33.0,0.8923516728174417,0.8923516728174417,0.0,0.98,0.0,0.0,0.0
33.5,0.8913703787474762,0.8913703787474762,0.0,0.98,0.0,0.0,0.0
34.0,0.8903675408726294,0.8903675408726294,0.0,0.98,0.0,0.0,0.0
34.5,0.8893370098492241,0.8893370098492241,0.0,0.98,0.0,0.0,0.0
35.0,0.8882727942093361,0.8882727942093361,0.0,0.98,0.0,0.0,0.0
35.5,0.8871683377450222,0.8871683377450222,0.0,0.98,0.0,0.0,0.0
36.0,0.8860152505781055,0.8860152505781055,0.0,0.98,0.0,0.0,0.0
36.5,0.8848086304338045,0.8848086304338045,0.0,0.98,0.0,0.0,0.0
37.0,0.883543222558467,0.883543222558467,0.0,0.98,0.0,0.0,0.0
37.5,0.882213840423205,0.882213840423205,0.0,0.98,0.0,0.0,0.0
38.0,0.8808153246660995,0.8808153246660995,0.0,0.98,0.0,0.0,0.0
38.5,0.8793401038645039,0.8793401038645039,0.0,0.98,0.0,0.0,0.0
39.0,0.8777869703291086,0.8777869703291086,0.0,0.98,0.0,0.0,0.0
39.5,0.8761527023882322,0.8761527023882322,0.0,0.98,0.0,0.0,0.0
40.0,0.8744346543099207,0.8744346543099207,0.0,0.98,0.0,0.0,0.0
40.5,0.8726297071452267,0.8726297071452267,0.0,0.98,0.0,0.0,0.0
41.0,0.8707321814402363,0.8707321814402363,0.0,0.98,0.0,0.0,0.0
41.5,0.8687434441531465,0.8687434441531465,0.0,0.98,0.0,0.0,0.0
42.0,0.8666623064463669,0.8666623064463669,0.0,0.98,0.0,0.0,0.0
42.5,0.8644868976648769,0.8644868976648769,0.0,0.98,0.0,0.0,0.0
43.0,0.8622148680541928,0.8622148680541928,0.0,0.98,0.0,0.0,0.0
43.5,0.8598437990854837,0.8598437990854837,0.0,0.98,0.0,0.0,0.0
44.0,0.8573633804070654,0.8573633804070654,0.0,0.98,0.0,0.0,0.0
44.5,0.8547749748105483,0.8547749748105483,0.0,0.98,0.0,0.0,0.0
45.0,0.852081925450201,0.852081925450201,0.0,0.98,0.0,0.0,0.0
45.5,0.8492889586792584,0.8492889586792584,0.0,0.98,0.0,0.0,0.0
46.0,0.8464002859623804,0.8464002859623804,0.0,0.98,0.0,0.0,0.0
46.5,0.8434206057641446,0.8434206057641446,0.0,0.98,0.0,0.0,0.0
47.0,0.8403537232856636,0.8403537232856636,0.0,0.98,0.0,0.0,0.0
47.5,0.8372051900305536,0.8372051900305536,0.0,0.98,0.0,0.0,0.0
48.0,0.833982151526916,0.833982151526916,0.0,0.98,0.0,0.0,0.0
48.5,0.8306903886720423,0.8306903886720423,0.0,0.98,0.0,0.0,0.0
49.0,0.8273349316336682,0.8273349316336682,0.0,0.98,0.0,0.0,0.0
49.5,0.823921174964856,0.823921174964856,0.0,0.98,0.0,0.0,0.0
50.0,0.8204544962357031,0.8204544962357031,0.0,0.98,0.0,0.0,0.0
50.5,0.8169404913351637,0.8169404913351637,0.0,0.98,0.0,0.0,0.0
51.0,0.8133836736200751,0.8133836736200751,0.0,0.98,0.0,0.0,0.0
51.5,0.809790790564666,0.809790790564666,0.0,0.98,0.0,0.0,0.0
52.0,0.8061673894964498,0.8061673894964498,0.0,0.98,0.0,0.0,0.0
52.5,0.8025191628085692,0.8025191628085692,0.0,0.98,0.0,0.0,0.0
53.0,0.7988512460089789,0.7988512460089789,0.0,0.98,0.0,0.0,0.0
53.5,0.7951687286561465,0.7951687286561465,0.0,0.98,0.0,0.0,0.0
54.0,0.7914766745357288,0.7914766745357288,0.0,0.98,0.0,0.0,0.0
54.5,0.7877803900698537,0.7877803900698537,0.0,0.98,0.0,0.0,0.0
55.0,0.7840842818976562,0.7840842818976562,0.0,0.98,0.0,0.0,0.0
55.5,0.7803930050668939,0.7803930050668939,0.0,0.98,0.0,0.0,0.0
56.0,0.7767105286311394,0.7767105286311394,0.0,0.98,0.0,0.0,0.0
56.5,0.7730410296402789,0.7730410296402789,0.0,0.98,0.0,0.0,0.0
57.0,0.7693886584212039,0.7693886584212039,0.0,0.98,0.0,0.0,0.0
57.5,0.7657567864824101,0.7657567864824101,0.0,0.98,0.0,0.0,0.0
58.0,0.7621487068134283,0.7621487068134283,0.0,0.98,0.0,0.0,0.0
58.5,0.7585683538191406,0.7585683538191406,0.0,0.98,0.0,0.0,0.0
59.0,0.7550179664694099,0.7550179664694099,0.0,0.98,0.0,0.0,0.0
59.5,0.7514997731077779,0.7514997731077779,0.0,0.98,0.0,0.0,0.0
60.0,0.7480159538503837,0.7480159538503837,0.0,0.98,0.0,0.0,0.0
60.5,0.7445689801499652,0.7445689801499652,0.0,0.98,0.0,0.0,0.0
61.0,0.7411608283025338,0.7411608283025338,0.0,0.98,0.0,0.0,0.0
61.5,0.7377939746754661,0.7377939746754661,0.0,0.98,0.0,0.0,0.0
62.0,0.7344692114333861,0.7344692114333861,0.0,0.98,0.0,0.0,0.0
62.5,0.7311873437161381,0.7311873437161381,0.0,0.98,0.0,0.0,0.0
63.0,0.7279495584971163,0.7279495584971163,0.0,0.98,0.0,0.0,0.0
63.5,0.7247567111815256,0.7247567111815256,0.0,0.98,0.0,0.0,0.0
64.0,0.7216098101996916,0.7216098101996916,0.0,0.98,0.0,0.0,0.0
64.5,0.7185107834383522,0.7185107834383522,0.0,0.98,0.0,0.0,0.0
65.0,0.7154587253800818,0.7154587253800818,0.0,0.98,0.0,0.0,0.0
65.5,0.7124536071975853,0.7124536071975853,0.0,0.98,0.0,0.0,0.0
66.0,0.7094951605318938,0.7094951605318938,0.0,0.98,0.0,0.0,0.0
66.5,0.7065834690865536,0.7065834690865536,0.0,0.98,0.0,0.0,0.0
67.0,0.7037191161156012,0.7037191161156012,0.0,0.98,0.0,0.0,0.0
67.5,0.7009024395732952,0.7009024395732952,0.0,0.98,0.0,0.0,0.0
68.0,0.6981317881654504,0.6981317881654504,0.0,0.98,0.0,0.0,0.0
68.5,0.6954066731812285,0.6954066731812285,0.0,0.98,0.0,0.0,0.0
69.0,0.6927265223026069,0.6927265223026069,0.0,0.98,0.0,0.0,0.0
69.5,0.6900911208847564,0.6900911208847564,0.0,0.98,0.0,0.0,0.0
70.0,0.6875009190462302,0.6875009190462302,0.0,0.98,0.0,0.0,0.0
70.5,0.684953191395493,0.684953191395493,0.0,0.98,0.0,0.0,0.0
71.0,0.6824472243550653,0.6824472243550653,0.0,0.98,0.0,0.0,0.0
71.5,0.6799823168919197,0.6799823168919197,0.0,0.98,0.0,0.0,0.0
72.0,0.677557669595731,0.677557669595731,0.0,0.98,0.0,0.0,0.0
