time,dt_exchange,mode
5.0,5.0,fixed_interval
10.0,5.0,fixed_interval
15.0,5.0,fixed_interval
20.0,5.0,fixed_interval
25.0,5.0,fixed_interval
30.0,5.0,fixed_interval
35.0,5.0,fixed_interval
40.0,5.0,fixed_interval
45.0,5.0,fixed_interval
50.0,5.0,fixed_interval
55.0,5.0,fixed_interval
60.0,5.0,fixed_interval
65.0,5.0,fixed_interval
70.0,5.0,fixed_interval
75.0,5.0,fixed_interval
80.0,5.0,fixed_interval
85.0,5.0,fixed_interval
90.0,5.0,fixed_interval
95.0,5.0,fixed_interval
100.0,5.0,fixed_interval
