case_name,cache_path,num_triangles,num_vertices
early_arrival_pulse_fixed_interval_002s,cases/early_arrival_pulse_fixed_interval_002s/plot_cache/mesh_geometry.npz,358,200
early_arrival_pulse_fixed_interval_005s,cases/early_arrival_pulse_fixed_interval_005s/plot_cache/mesh_geometry.npz,358,200
early_arrival_pulse_fixed_interval_015s,cases/early_arrival_pulse_fixed_interval_015s/plot_cache/mesh_geometry.npz,358,200
early_arrival_pulse_fixed_interval_060s,cases/early_arrival_pulse_fixed_interval_060s/plot_cache/mesh_geometry.npz,358,200
early_arrival_pulse_fixed_interval_300s,cases/early_arrival_pulse_fixed_interval_300s/plot_cache/mesh_geometry.npz,358,200
early_arrival_pulse_strict_global_min_dt,cases/early_arrival_pulse_strict_global_min_dt/plot_cache/mesh_geometry.npz,358,200
early_arrival_pulse_yield_schedule,cases/early_arrival_pulse_yield_schedule/plot_cache/mesh_geometry.npz,358,200
frontal_basin_fill_fixed_interval_002s,cases/frontal_basin_fill_fixed_interval_002s/plot_cache/mesh_geometry.npz,287,162
frontal_basin_fill_fixed_interval_005s,cases/frontal_basin_fill_fixed_interval_005s/plot_cache/mesh_geometry.npz,287,162
frontal_basin_fill_fixed_interval_015s,cases/frontal_basin_fill_fixed_interval_015s/plot_cache/mesh_geometry.npz,287,162
frontal_basin_fill_fixed_interval_060s,cases/frontal_basin_fill_fixed_interval_060s/plot_cache/mesh_geometry.npz,287,162
frontal_basin_fill_fixed_interval_300s,cases/frontal_basin_fill_fixed_interval_300s/plot_cache/mesh_geometry.npz,287,162
frontal_basin_fill_strict_global_min_dt,cases/frontal_basin_fill_strict_global_min_dt/plot_cache/mesh_geometry.npz,287,162
frontal_basin_fill_yield_schedule,cases/frontal_basin_fill_yield_schedule/plot_cache/mesh_geometry.npz,287,162
lateral_overtopping_return_fixed_interval_002s,cases/lateral_overtopping_return_fixed_interval_002s/plot_cache/mesh_geometry.npz,505,278
