link_id,time,dt_exchange,eta_1d,eta_2d,Q_exchange,dV_exchange,cumulative_dV,mass_error,mode,iteration_count
lateral_demo,0.11024999618530273,0.11024999618530273,0.7799999999999999,0.82,-0.14882941644715286,-0.016408442595559434,-0.016408442595559434,0.0,strict_global_min_dt,1
front,0.11024999618530273,0.11024999618530273,0.82,0.82,-0.34460284642078387,-0.037992462503335885,-0.037992462503335885,0.0,sub,1
lateral_demo,0.22552120042560944,0.11527120424030671,0.780934598710802,0.819508315330689,-0.14609372379417754,-0.016840399473705595,-0.033248842069265025,0.0,strict_global_min_dt,1
front,0.22552120042560944,0.11527120424030671,0.82,0.82,-0.3492037340906004,-0.040253134953835354,-0.07824559745717125,0.0,sub,1
lateral_demo,0.34083378438774486,0.11531258396213542,0.7820330460866293,0.8190474260889836,-0.1435447817147778,-0.016552519693811718,-0.04980136176307674,0.0,strict_global_min_dt,1
front,0.34083378438774486,0.11531258396213542,0.82,0.82,-0.35275756183033635,-0.04067738596683884,-0.11892298342401009,0.0,sub,1
lateral_demo,0.4561732277010395,0.11533944331329465,0.7832530869377985,0.8186303781601718,-0.14125122771033438,-0.01629183797142939,-0.06609319973450613,0.0,strict_global_min_dt,1
front,0.4561732277010395,0.11533944331329465,0.82,0.82,-0.355157296754333,-0.040963644896299355,-0.15988662832030945,0.0,sub,1
lateral_demo,0.5715280086533073,0.11535478095226781,0.7845889727274576,0.8182552943576656,-0.13919899955607068,-0.016057270102565357,-0.08215046983707149,0.0,strict_global_min_dt,1
front,0.5715280086533073,0.11535478095226781,0.82,0.82,-0.35658450401698094,-0.0411337273518519,-0.20102035567216134,0.0,sub,1
lateral_demo,0.6868918105424315,0.1153638018891242,0.7860351138644749,0.8179220740064541,-0.13738423951774986,-0.015849168190413685,-0.09799963802748517,0.0,strict_global_min_dt,1
front,0.6868918105424315,0.1153638018891242,0.82,0.82,-0.35706448299714333,-0.041192316278125,-0.24221267195028634,0.0,sub,1
lateral_demo,0.802262354921566,0.11537054437913441,0.7875860532124838,0.8176305837534072,-0.1358032692802133,-0.01566769710532439,-0.11366733513280955,0.0,strict_global_min_dt,1
front,0.802262354921566,0.11537054437913441,0.82,0.82,-0.35660747774714135,-0.04114199883735776,-0.2833546707876441,0.0,sub,1
lateral_demo,0.9176366950110963,0.1153743400895304,0.789236307144165,0.8173812332373037,-0.13445570352090316,-0.015512738064997752,-0.1291800731978073,0.0,strict_global_min_dt,1
front,0.9176366950110963,0.1153743400895304,0.82,0.82,-0.35529558041526854,-0.04099199312713829,-0.3243466639147824,0.0,sub,1
lateral_demo,1.0330135071201163,0.11537681210901995,0.7909804715050592,0.8171736407787623,-0.13333723309410292,-0.01538402488983491,-0.1445640980876422,0.0,strict_global_min_dt,1
front,1.0330135071201163,0.11537681210901995,0.82,0.82,-0.3531236103528462,-0.04074227644293911,-0.3650889403577215,0.0,sub,1
lateral_demo,1.148386976831708,0.11537346971159179,0.7928133275773791,0.8170074109371169,-0.1324438649821986,-0.015280508245009842,-0.15984460633265204,0.0,strict_global_min_dt,1
front,1.148386976831708,0.11537346971159179,0.82,0.82,-0.3501607291761931,-0.04039925828179841,-0.4054881986395199,0.0,sub,1
lateral_demo,1.263749340920678,0.11536236408896983,0.7947295506795248,0.8168815777087618,-0.13176893270057846,-0.015201175589819095,-0.17504578192247114,0.0,strict_global_min_dt,1
front,1.263749340920678,0.11536236408896983,0.82,0.82,-0.346394644526924,-0.03996090510038428,-0.4454491037399042,0.0,sub,1
lateral_demo,1.3790932078643179,0.11534386694363996,0.7967238161298965,0.8167956582801533,-0.13130874705138965,-0.015145658648431563,-0.1901914405709027,0.0,strict_global_min_dt,1
front,1.3790932078643179,0.11534386694363996,0.82,0.82,-0.341718647472496,-0.03941515020622818,-0.4848642539461324,0.0,sub,1
lateral_demo,1.4944141386353533,0.11532093077103545,0.7987903753916422,0.8167481366815675,-0.1310544512994549,-0.015113321305540474,-0.20530476187644317,0.0,strict_global_min_dt,1
front,1.4944141386353533,0.11532093077103545,0.82,0.82,-0.3361992791259671,-0.03877081379335767,-0.5236350677394901,0.0,sub,1
lateral_demo,1.6097098708011335,0.11529573216578015,0.800923850801256,0.8167363518414007,-0.13099141414692772,-0.015102751001500964,-0.22040751287794413,0.0,strict_global_min_dt,1
front,1.6097098708011335,0.11529573216578015,0.82,0.82,-0.3298067189194066,-0.038025307131006644,-0.5616603748704967,0.0,sub,1
lateral_demo,1.724982648992793,0.1152727781916596,0.8031187587314182,0.816756289058718,-0.1310980643093998,-0.015112038088493368,-0.2355195509664375,0.0,strict_global_min_dt,1
front,1.724982648992793,0.1152727781916596,0.82,0.82,-0.3225038142571415,-0.03717591064682765,-0.5988362855173244,0.0,sub,1
lateral_demo,1.8402385581187268,0.11525590912593375,0.8053697215186225,0.8168036913464943,-0.1313517495207252,-0.015139065306293116,-0.2506586162727306,0.0,strict_global_min_dt,1
front,1.8402385581187268,0.11525590912593375,0.82,0.82,-0.3143405841829948,-0.03622960980518818,-0.6350658953225126,0.0,sub,1
lateral_demo,1.9554811878230756,0.11524262970434873,0.8076716264088949,0.8168718231212707,-0.13171665999412116,-0.01517937427359611,-0.26583799054632673,0.0,strict_global_min_dt,1
front,1.9554811878230756,0.11524262970434873,0.82,0.82,-0.3051912631824949,-0.0351710437319427,-0.6702369390544552,0.0,sub,1
lateral_demo,2.070704249941241,0.11522306211816558,0.8100187513563369,0.8169547889685683,-0.13216147645733134,-0.015228050011471567,-0.28106604055779827,0.0,strict_global_min_dt,1
front,2.070704249941241,0.11522306211816558,0.82,0.82,-0.2951226509825716,-0.03400493554664255,-0.7042418746010978,0.0,sub,1
lateral_demo,2.185908557783925,0.11520430784268365,0.8124054008060032,0.8170458963071262,-0.03913563116087531,-0.004508593299875202,-0.28557463385767345,0.0,strict_global_min_dt,1
front,2.185908557783925,0.11520430784268365,0.82,0.82,-0.28404104543165565,-0.03272275203786615,-0.7369646266389639,0.0,sub,1
lateral_demo,2.3010661171372897,0.11515755935336491,0.8145865599314371,0.8174616548433619,-0.03560900735027564,-0.004100646377453774,-0.28967528023512723,0.0,strict_global_min_dt,1
front,2.3010661171372897,0.11515755935336491,0.82,0.82,-0.2719086121584177,-0.031312332143324066,-0.768276958782288,0.0,sub,1
lateral_demo,2.4161726486681427,0.11510653153085304,0.8167876402537028,0.8178676284957889,-0.03187643364524091,-0.003669185714477068,-0.2933444659496043,0.0,strict_global_min_dt,1
front,2.4161726486681427,0.11510653153085304,0.82,0.82,-0.2587263954248907,-0.02978109799283913,-0.7980580567751271,0.0,sub,1
lateral_demo,2.5312387245055445,0.1150660758374018,0.8190025488535563,0.818261027324215,-0.027950780895568614,-0.0032161866742440996,-0.2965606526238484,0.0,strict_global_min_dt,1
front,2.5312387245055445,0.1150660758374018,0.82,0.82,-0.24452739308126792,-0.028136807556611337,-0.8261948643317384,0.0,sub,1
lateral_demo,2.6462735694924473,0.11503484498690275,0.821225855085585,0.8186418588966409,-0.023853757889576263,-0.002744013341182514,-0.2993046659650309,0.0,strict_global_min_dt,1
front,2.6462735694924473,0.11503484498690275,0.82,0.82,-0.22927403542681168,-0.026374503124844934,-0.8525693674565833,0.0,sub,1
lateral_demo,2.7612747404629463,0.115001170970499,0.8234521018134222,0.8190041490372882,-0.019586288353995784,-0.0022524460956753626,-0.3015571120607063,0.0,strict_global_min_dt,1
front,2.7612747404629463,0.115001170970499,0.82,0.82,-0.212961828689999,-0.024490859671368694,-0.877060227127952,0.0,sub,1
lateral_demo,2.876250150127742,0.11497540966479569,0.8256757789187962,0.8193420773612751,0.18324262609057007,0.021068396002816275,-0.28048871605789,0.0,strict_global_min_dt,1
front,2.876250150127742,0.11497540966479569,0.82,0.82,-0.19560731821297533,-0.02249003154496889,-0.8995502586729208,0.0,sub,1
lateral_demo,2.991189518393589,0.11493936826584683,0.8273846573299832,0.8201611348211916,0.19382333941053032,0.022277932187023168,-0.2582107838708668,0.0,strict_global_min_dt,1
front,2.991189518393589,0.11493936826584683,0.82,0.82,-0.18388223371739323,-0.02113530777878998,-0.9206855664517108,0.0,sub,1
lateral_demo,3.1060212423212694,0.1148317239276806,0.8290766345130073,0.8210273389983,0.15299092999779806,0.017568212236946254,-0.24064257163392055,0.0,strict_global_min_dt,1
front,3.1060212423212694,0.1148317239276806,0.82,0.82,-0.171384638799656,-0.019680393528087353,-0.9403659599797982,0.0,sub,1
lateral_demo,3.2208150085715745,0.11479376625030513,0.8308781252966987,0.8216465994716597,0.2160305437780053,0.02479895974537865,-0.2158436118885419,0.0,strict_global_min_dt,1
