link_id,time,dt_exchange,eta_1d,eta_2d,Q_exchange,dV_exchange,cumulative_dV,mass_error,mode,iteration_count
lateral_demo,0.009484489854498682,0.009484489854498682,0.7799999999999999,0.8200000000000002,-0.14882941644715347,-0.0014115710903439866,-0.0014115710903439866,0.0,strict_global_min_dt,1
front,0.009484489854498682,0.009484489854498682,0.82,0.82,-0.34460284642078387,-0.0032683822007092923,-0.0032683822007092923,0.0,sub,1
lateral_demo,0.01896931180172238,0.009484821947223696,0.7800803979237875,0.8198562503741212,-0.14802785619233172,-0.001404017859213501,-0.0028155889495574873,0.0,strict_global_min_dt,1
front,0.01896931180172238,0.009484821947223696,0.82,0.82,-0.34511800062913445,-0.003273382786749176,-0.006541764987458468,0.0,sub,1
lateral_demo,0.02845415480387879,0.00948484300215641,0.7801615926954483,0.819718571086141,-0.14726149863102306,-0.0013967521947775249,-0.004212341144335012,0.0,strict_global_min_dt,1
front,0.02845415480387879,0.00948484300215641,0.82,0.82,-0.34563678091892486,-0.003278310602786733,-0.009820075590245201,0.0,sub,1
lateral_demo,0.037938772400957124,0.009484617597078335,0.7802435027228461,0.8195856669285332,-0.14652297946989645,-0.0013897144294565276,-0.00560205557379154,0.0,strict_global_min_dt,1
front,0.037938772400957124,0.009484617597078335,0.82,0.82,-0.34615869568603047,-0.003283182856485409,-0.01310325844673061,0.0,sub,1
lateral_demo,0.04742295298620294,0.009484180585245819,0.780326075024075,0.8194576816882702,-0.14581296441236274,-0.0013829164861568703,-0.006984972059948411,0.0,strict_global_min_dt,1
front,0.04742295298620294,0.009484180585245819,0.82,0.82,-0.34668458066675084,-0.003288019169163686,-0.016391277615894297,0.0,sub,1
lateral_demo,0.056906623083664204,0.009483670097461261,0.7804093625810412,0.81933468059254,-0.14513168376885566,-0.0013763810095529002,-0.008361353069501311,0.0,strict_global_min_dt,1
front,0.056906623083664204,0.009483670097461261,0.82,0.82,-0.3472138649455432,-0.0032928617484080007,-0.019684139364302296,0.0,sub,1
lateral_demo,0.06638971636416151,0.009483093280497304,0.7804933389027914,0.8192164769707478,-0.14447797834177278,-0.0013700981455927006,-0.009731451215094012,0.0,strict_global_min_dt,1
front,0.06638971636416151,0.009483093280497304,0.82,0.82,-0.3477465029215307,-0.0032977125251716036,-0.022981851889473902,0.0,sub,1
lateral_demo,0.0758721710293615,0.009482454665199994,0.7805780569712321,0.8191025220817201,-0.14384870180119574,-0.0013640387934777112,-0.011095490008571723,0.0,strict_global_min_dt,1
front,0.0758721710293615,0.009482454665199994,0.82,0.82,-0.3482825311500215,-0.0033025733123111835,-0.026284425201785085,0.0,sub,1
lateral_demo,0.08535386317406941,0.009481692144707912,0.7806634638044571,0.8189922794205312,-0.14324079672756865,-0.0013581651371334905,-0.012453655145705213,0.0,strict_global_min_dt,1
front,0.08535386317406941,0.009481692144707912,0.82,0.82,-0.34882266979595056,-0.0033074291681003064,-0.02959185436988539,0.0,sub,1
lateral_demo,0.0948347740892729,0.009480910915203491,0.7807496123843723,0.818885186943537,-0.14265108483038566,-0.0013524622272340226,-0.013806117372939235,0.0,strict_global_min_dt,1
front,0.0948347740892729,0.009480910915203491,0.82,0.82,-0.3493663921663832,-0.003312311640895526,-0.032904166010780916,0.0,sub,1
lateral_demo,0.10431487234331116,0.009480098254038255,0.780836476220025,0.8187809688815063,-0.1420779801984624,-0.0013469132120167253,-0.01515303058495596,0.0,strict_global_min_dt,1
front,0.10431487234331116,0.009480098254038255,0.82,0.82,-0.3499135451341658,-0.003317214788290741,-0.03622138079907166,0.0,sub,1
lateral_demo,0.11379408569415933,0.00947921335084817,0.7809240818023682,0.8186795965100092,-0.1415212625873513,-0.00134151024174691,-0.01649454082670287,0.0,strict_global_min_dt,1
front,0.11379408569415933,0.00947921335084817,0.82,0.82,-0.3504641661584855,-0.0033221246028433873,-0.03954350540191505,0.0,sub,1
lateral_demo,0.12327252187057777,0.009478436176418442,0.7810124556223551,0.8185808920756652,-0.14097989729051869,-0.0013362689586262086,-0.01783080978532908,0.0,strict_global_min_dt,1
front,0.12327252187057777,0.009478436176418442,0.82,0.82,-0.3510176953868175,-0.0033270988225174397,-0.042870604224432486,0.0,sub,1
lateral_demo,0.13275026491256475,0.00947774304198698,0.7811015446980795,0.8184848936689364,-0.14045403763133427,-0.0013311872778793558,-0.019161997063208435,0.0,strict_global_min_dt,1
front,0.13275026491256475,0.00947774304198698,0.82,0.82,-0.35053516215294755,-0.0033222821940668765,-0.04619288641849936,0.0,sub,1
lateral_demo,0.1422273286948431,0.009477063782278361,0.7811911635928684,0.8183916645023278,-0.1399439746627021,-0.0013262579738239745,-0.02048825503703241,0.0,strict_global_min_dt,1
front,0.1422273286948431,0.009477063782278361,0.82,0.82,-0.3500580587621566,-0.0033175225503895046,-0.049510408968888864,0.0,sub,1
lateral_demo,0.15170372805507013,0.009476399360227011,0.7812813387976753,0.8183011998381143,-0.13944962814118617,-0.0013214803669010311,-0.02180973540393344,0.0,strict_global_min_dt,1
front,0.15170372805507013,0.009476399360227011,0.82,0.82,-0.34958647330640746,-0.0033128210319848567,-0.052823230000873723,0.0,sub,1
lateral_demo,0.16117946233577565,0.009475734280705528,0.7813720438215469,0.8182134318172595,-0.13897057512320524,-0.0013168482427043187,-0.023126583646637756,0.0,strict_global_min_dt,1
front,0.16117946233577565,0.009475734280705528,0.82,0.82,-0.3491204021040767,-0.003308172162311298,-0.05613140216318502,0.0,sub,1
lateral_demo,0.17065452138635678,0.00947505905058113,0.7814632786644831,0.8181282107834579,-0.13850595011803707,-0.0013123520562252457,-0.024438935702863002,0.0,strict_global_min_dt,1
front,0.17065452138635678,0.00947505905058113,0.82,0.82,-0.3486598804971891,-0.003303572956279427,-0.059434975119464446,0.0,sub,1
lateral_demo,0.1801289004113911,0.009474379025034313,0.7815550698174372,0.818045366766289,-0.13805478204593685,-0.0013079833313217077,-0.02574691903418471,0.0,strict_global_min_dt,1
front,0.1801289004113911,0.009474379025034313,0.82,0.82,-0.3482049321020722,-0.00329902550512137,-0.06273400062458581,0.0,sub,1
lateral_demo,0.18960261028082673,0.009473709869435631,0.7816474172804092,0.8179646754017886,-0.13761580927825656,-0.0013037322505497907,-0.027050651284734502,0.0,strict_global_min_dt,1
front,0.18960261028082673,0.009473709869435631,0.82,0.82,-0.3477548561486694,-0.0032945286128398176,-0.06602852923742562,0.0,sub,1
lateral_demo,0.19907565007083078,0.00947303979000405,0.7817403210533991,0.8178859952849811,-0.13718822695537222,-0.0012995895326683474,-0.02835024081740285,0.0,strict_global_min_dt,1
front,0.19907565007083078,0.00947303979000405,0.82,0.82,-0.3473102816390932,-0.0032900841174446434,-0.06931861335487027,0.0,sub,1
lateral_demo,0.20854800417276162,0.009472354101930841,0.78183380762736,0.8178092490238651,-0.13677158158640493,-0.0012955488518675514,-0.029645789669270402,0.0,strict_global_min_dt,1
front,0.20854800417276162,0.009472354101930841,0.82,0.82,-0.34687056432594626,-0.003285680812831943,-0.07260429416770221,0.0,sub,1
lateral_demo,0.2180197046503553,0.009471700477593686,0.7819278505113391,0.8177343520370939,-0.1363653831730945,-0.0012916120649278451,-0.030937401734198247,0.0,strict_global_min_dt,1
front,0.2180197046503553,0.009471700477593686,0.82,0.82,-0.3464364268522681,-0.003281342069672478,-0.0758856362373747,0.0,sub,1
lateral_demo,0.22749079137597705,0.009471086725621747,0.7820224761962891,0.8176612927367418,-0.13596953953008178,-0.001287779300932259,-0.03222518103513051,0.0,strict_global_min_dt,1
front,0.22749079137597705,0.009471086725621747,0.82,0.82,-0.3460070144530425,-0.0032770624415582226,-0.07916269867893291,0.0,sub,1
lateral_demo,0.236961286657209,0.00947049528123195,0.7821176581912571,0.8175900397567282,-0.13558385238267806,-0.0012840462342014018,-0.03350922726933191,0.0,strict_global_min_dt,1
front,0.236961286657209,0.00947049528123195,0.82,0.82,-0.3455822728377386,-0.003272835284187216,-0.08243553396312013,0.0,sub,1
lateral_demo,0.24643119149723536,0.009469904840026355,0.7822134229871963,0.8175205887779203,-0.13520827095658935,-0.0012804094595434004,-0.034789636728875306,0.0,strict_global_min_dt,1
front,0.24643119149723536,0.009469904840026355,0.82,0.82,-0.3451629521239494,-0.0032686603109163734,-0.0857041942740365,0.0,sub,1
lateral_demo,0.255900484209545,0.009469292712309618,0.7823096646202936,0.8174528838606872,-0.13484246643997772,-0.0012768627847699352,-0.03606649951364524,0.0,strict_global_min_dt,1
front,0.255900484209545,0.009469292712309618,0.82,0.82,-0.34474843519395026,-0.003264523844962218,-0.08896871811899872,0.0,sub,1
lateral_demo,0.2653691031013826,0.009468618891837643,0.7824063830905491,0.81738689002696,-0.13448622484165682,-0.0012733988092276367,-0.03733989832287288,0.0,strict_global_min_dt,1
front,0.2653691031013826,0.009468618891837643,0.82,0.82,-0.3443388234721513,-0.003260413089121559,-0.09222913120812028,0.0,sub,1
lateral_demo,0.27483701820164463,0.009467915100262014,0.7825035519070096,0.8173226152274987,-0.13413956486753384,-0.0012700220117518996,-0.03860992033462478,0.0,strict_global_min_dt,1
front,0.27483701820164463,0.009467915100262014,0.82,0.82,-0.34393429614239346,-0.0032563407159445544,-0.09548547192406483,0.0,sub,1
lateral_demo,0.28430420194345873,0.0094671837418141,0.7826012240515815,0.8172600372717619,-0.13380234331419594,-0.0012667313692407843,-0.03987665170386556,0.0,strict_global_min_dt,1
front,0.28430420194345873,0.0094671837418141,0.82,0.82,-0.34353472483578773,-0.0032523063617139504,-0.09873777828577877,0.0,sub,1
lateral_demo,0.29377062728104625,0.009466425337587514,0.7826993730333117,0.8171991490052775,-0.13347449889620705,-0.001263526378272851,-0.041140178082138414,0.0,strict_global_min_dt,1
front,0.29377062728104625,0.009466425337587514,0.82,0.82,-0.3431401019007634,-0.003248310154975748,-0.10198608844075452,0.0,sub,1
lateral_demo,0.30323628412198983,0.009465656840943582,0.7827979988522,0.8171399555510274,-0.13315603706464274,-0.0012604093531538726,-0.042400587435292285,0.0,strict_global_min_dt,1
front,0.30323628412198983,0.009465656840943582,0.82,0.82,-0.3427504352563361,-0.0032443580022205277,-0.10523044644297505,0.0,sub,1
lateral_demo,0.3127011708000255,0.009464886678035689,0.7828971279991999,0.8170824076286074,-0.13284667142183654,-0.001257378690561925,-0.04365796612585421,0.0,strict_global_min_dt,1
front,0.3127011708000255,0.009464886678035689,0.82,0.82,-0.34236565115712053,-0.003240452090654044,-0.1084708985336291,0.0,sub,1
lateral_demo,0.32216530170072577,0.009464130900700252,0.7829967339833578,0.8170264789377354,-0.1325462403543698,-0.0012544349691094338,-0.04491240109496364,0.0,strict_global_min_dt,1
front,0.32216530170072577,0.009464130900700252,0.82,0.82,-0.34198570314112414,-0.003236597460695616,-0.11170749599432471,0.0,sub,1
lateral_demo,0.3316287134208149,0.009463411720089132,0.7830968697865804,0.8169721349415114,-0.1322545390257936,-0.0012515791546516806,-0.04616398024961532,0.0,strict_global_min_dt,1
front,0.3316287134208149,0.009463411720089132,0.82,0.82,-0.34160982586680927,-0.0032327944298055702,-0.11494029042413029,0.0,sub,1
lateral_demo,0.34109144869032154,0.009462735269506639,0.7831974824269613,0.8169193192623317,-0.13197124656317463,-0.0012488089694141094,-0.04741278921902943,0.0,strict_global_min_dt,1
front,0.34109144869032154,0.009462735269506639,0.82,0.82,-0.3412385752387031,-0.0032290503012274707,-0.11816934072535776,0.0,sub,1
lateral_demo,0.3505535412488128,0.009462092558491286,0.7832985983954536,0.816867984643154,-0.1316960923228401,-0.0012461206151503268,-0.04865890983417976,0.0,strict_global_min_dt,1
front,0.3505535412488128,0.009462092558491286,0.82,0.82,-0.340871912770794,-0.0032253615892272208,-0.12139470231458498,0.0,sub,1
lateral_demo,0.36001500702020195,0.009461465771389121,0.7834003236558703,0.816818089337767,-0.13142883633837066,-0.0012435094363889968,-0.04990241927056876,0.0,strict_global_min_dt,1
front,0.36001500702020195,0.009461465771389121,0.82,0.82,-0.3405091742347563,-0.0032217158968661213,-0.1246164182114511,0.0,sub,1
lateral_demo,0.36947585370380787,0.009460846683605917,0.7835026582082113,0.8167695741319188,-0.13116914621632472,-0.0012409711819721353,-0.05114339045254089,0.0,strict_global_min_dt,1
front,0.36947585370380787,0.009460846683605917,0.82,0.82,-0.3401511372087333,-0.003218117758386026,-0.12783453596983713,0.0,sub,1
lateral_demo,0.37893609172215326,0.00946023801834539,0.78360562854343,0.8167223739018278,-0.13091665920534576,-0.001238502756649179,-0.05238189320919007,0.0,strict_global_min_dt,1
front,0.37893609172215326,0.00946023801834539,0.82,0.82,-0.33979715673604405,-0.0032145619806799915,-0.1310490979505171,0.0,sub,1
lateral_demo,0.38839574596123905,0.00945965423908579,0.7837091816796198,0.8166764092171173,-0.13067093736382127,-0.0012361018865589856,-0.05361799509574905,0.0,strict_global_min_dt,1
front,0.38839574596123905,0.00945965423908579,0.82,0.82,-0.3394478783586786,-0.003211059561464352,-0.13426015751198148,0.0,sub,1
lateral_demo,0.3978548428199686,0.009459096858729532,0.7838133970896403,0.8166316320359188,-0.13043171179016141,-0.0012337661952730315,-0.05485176129102208,0.0,strict_global_min_dt,1
front,0.3978548428199686,0.009459096858729532,0.82,0.82,-0.3391025522386439,-0.0032076038866677235,-0.1374677613986492,0.0,sub,1
lateral_demo,0.4073134001162294,0.009458557296260828,0.7839182217915853,0.8165879683190312,-0.13019857574436586,-0.0012314906885696397,-0.05608325197959172,0.0,strict_global_min_dt,1
front,0.4073134001162294,0.009458557296260828,0.82,0.82,-0.33876113596542046,-0.003204191614275334,-0.1406719530129245,0.0,sub,1
lateral_demo,0.41677143029972863,0.009458030183499222,0.7840236822764078,0.8165453272430298,-0.12997103416185035,-0.0012292699640833891,-0.05731252194367511,0.0,strict_global_min_dt,1
front,0.41677143029972863,0.009458030183499222,0.82,0.82,-0.338423684163622,-0.0032008214196305447,-0.14387277443255506,0.0,sub,1
