link_id,time,dt_exchange,eta_1d,eta_2d,Q_exchange,dV_exchange,cumulative_dV,mass_error,mode,iteration_count
lateral_demo,0.057419207776529445,0.057419207776529445,0.7799999999999999,0.82,-0.14882941644715225,-0.008545667186238663,-0.008545667186238663,0.0,strict_global_min_dt,1
front,0.057419207776529445,0.057419207776529445,0.82,0.82,-0.34460284642078387,-0.019786822439018456,-0.019786822439018456,0.0,sub,1
lateral_demo,0.11483364791108767,0.05741444013455823,0.7804867691463895,0.8197361978166852,-0.1473595394210651,-0.008460565454346817,-0.01700623264058548,0.0,strict_global_min_dt,1
front,0.11483364791108767,0.05741444013455823,0.82,0.82,-0.34700074903733746,-0.019922853732251077,-0.03970967617126953,0.0,sub,1
lateral_demo,0.17224572612930272,0.05741207821821505,0.7810048262278239,0.8194947863303015,-0.14601868897628686,-0.008383236392827797,-0.025389469033413277,0.0,strict_global_min_dt,1
front,0.17224572612930272,0.05741207821821505,0.82,0.82,-0.34898706738881646,-0.020036072810072216,-0.059745748981341745,0.0,sub,1
lateral_demo,0.22965866757053008,0.057412941441227355,0.7815533743964301,0.8192693630610783,-0.1447703344437977,-0.008311690733848657,-0.033701159767261936,0.0,strict_global_min_dt,1
front,0.22965866757053008,0.057412941441227355,0.82,0.82,-0.35074034976832097,-0.02013703516232421,-0.07988278414366595,0.0,sub,1
lateral_demo,0.28707302804401136,0.05741436047348128,0.7821318043602838,0.8190592361011162,-0.14360990996885908,-0.008245271138516268,-0.0419464309057782,0.0,strict_global_min_dt,1
front,0.28707302804401136,0.05741436047348128,0.82,0.82,-0.3522605771425066,-0.020224815756656432,-0.10010759990032239,0.0,sub,1
lateral_demo,0.3444886197773322,0.05741559173332084,0.7827396657731799,0.8188638511250993,-0.14253369462269003,-0.008183656418698199,-0.0501300873244764,0.0,strict_global_min_dt,1
front,0.3444886197773322,0.05741559173332084,0.82,0.82,-0.3533806909285615,-0.02028956147679312,-0.12039716137711551,0.0,sub,1
lateral_demo,0.4019048549670184,0.05741623518968619,0.7833760579427084,0.8186814720769133,-0.14153155622422797,-0.008126209118932567,-0.05825629644340897,0.0,strict_global_min_dt,1
front,0.4019048549670184,0.05741623518968619,0.82,0.82,-0.3542787171609941,-0.020341350147215952,-0.14073851152433145,0.0,sub,1
lateral_demo,0.4593213060313842,0.057416451064365825,0.7840403185950385,0.8185106011048909,-0.14059479348682352,-0.008072454080140823,-0.06632875052354979,0.0,strict_global_min_dt,1
front,0.4593213060313842,0.057416451064365825,0.82,0.82,-0.35495691096215204,-0.02038036610821686,-0.1611188776325483,0.0,sub,1
lateral_demo,0.5167308142976766,0.05740950826629243,0.7847317854563395,0.8183502701258192,-0.13971770164697295,-0.008021124547649272,-0.07434987507119907,0.0,strict_global_min_dt,1
front,0.5167308142976766,0.05740950826629243,0.82,0.82,-0.3554155566947395,-0.020404232340035574,-0.1815231099725839,0.0,sub,1
lateral_demo,0.574132947382388,0.057402133084711315,0.7854497962527806,0.8182003403947884,-0.13889916698493238,-0.007973108468624628,-0.0823229835398237,0.0,strict_global_min_dt,1
front,0.574132947382388,0.057402133084711315,0.82,0.82,-0.35566805976422394,-0.02041610530056704,-0.20193921527315092,0.0,sub,1
lateral_demo,0.6315281155013143,0.05739516811892631,0.7861936357286242,0.8180614610999936,-0.13814239329350736,-0.007928705887431694,-0.0902516894272554,0.0,strict_global_min_dt,1
front,0.6315281155013143,0.05739516811892631,0.82,0.82,-0.3557053762051527,-0.020415769868100668,-0.2223549851412516,0.0,sub,1
lateral_demo,0.688916367810317,0.057388252309002685,0.7869628270467123,0.8179332383425763,-0.13744491328433261,-0.007887723362150274,-0.09813941278940566,0.0,strict_global_min_dt,1
