link_id,time,dt_exchange,eta_1d,eta_2d,Q_exchange,dV_exchange,cumulative_dV,mass_error,mode,iteration_count
lateral_demo,0.057419207776529445,0.057419207776529445,0.7799999999999999,0.82,-0.14882941644715286,-0.0085456671862387,-0.0085456671862387,0.0,strict_global_min_dt,1
front,0.057419207776529445,0.057419207776529445,0.82,0.82,-0.34460284642078387,-0.019786822439018456,-0.019786822439018456,0.0,sub,1
lateral_demo,0.11483160121315872,0.05741239343662927,0.7804867691463895,0.8196425374247744,-0.1468388448062233,-0.00843036952979504,-0.01697603671603374,0.0,strict_global_min_dt,1
front,0.11483160121315872,0.05741239343662927,0.82,0.82,-0.34700074903733746,-0.019922143526536675,-0.039708965965555135,0.0,sub,1
lateral_demo,0.17224363726068967,0.05741203604753095,0.7810041374630399,0.8193167021681266,-0.14503219367011871,-0.008326593531041347,-0.025302630247075086,0.0,strict_global_min_dt,1
front,0.17224363726068967,0.05741203604753095,0.82,0.82,-0.3489941088798919,-0.020036462359388295,-0.05974542832494343,0.0,sub,1
lateral_demo,0.22965704349396407,0.0574134062332744,0.7815514140658909,0.8190138308309612,-0.14335956899864088,-0.0082307611723461,-0.03353339141942119,0.0,strict_global_min_dt,1
front,0.22965704349396407,0.0574134062332744,0.82,0.82,-0.3507575937297894,-0.02013818821821422,-0.07988361654315765,0.0,sub,1
lateral_demo,0.2870723431883389,0.05741529969437484,0.782128069135878,0.8187326618416918,-0.14181259633559176,-0.008142212719045404,-0.04167560413846659,0.0,strict_global_min_dt,1
front,0.2870723431883389,0.05741529969437484,0.82,0.82,-0.35229252911996684,-0.02022698113951217,-0.10011059768266982,0.0,sub,1
lateral_demo,0.34448920509168396,0.05741686190334505,0.782733678817749,0.8184725343870257,-0.14038638361816394,-0.008060545601314141,-0.04973614973978073,0.0,strict_global_min_dt,1
front,0.34448920509168396,0.05741686190334505,0.82,0.82,-0.3534312445014328,-0.020292912957866147,-0.12040351064053596,0.0,sub,1
lateral_demo,0.4019026860707555,0.05741348097907156,0.7833674218919543,0.8182315136257746,-0.13906922380934567,-0.007984448235952114,-0.05772059797573284,0.0,strict_global_min_dt,1
front,0.4019026860707555,0.05741348097907156,0.82,0.82,-0.35435054813964767,-0.020344498455539244,-0.1407480090960752,0.0,sub,1
lateral_demo,0.4593070841267402,0.057404398055984684,0.7840285831027561,0.8180080140402376,-0.13785151984972405,-0.007913283518076034,-0.06563388149380887,0.0,strict_global_min_dt,1
front,0.4593070841267402,0.057404398055984684,0.82,0.82,-0.35505958432279205,-0.020381981712058014,-0.16112999080813323,0.0,sub,1
lateral_demo,0.5167017347344933,0.05739465060775312,0.784716526667277,0.8178010793976519,-0.13672725464131352,-0.007847413008695481,-0.07348129450250436,0.0,strict_global_min_dt,1
front,0.5167017347344933,0.05739465060775312,0.82,0.82,-0.3555614041288169,-0.020407322559575555,-0.18153731336770879,0.0,sub,1
lateral_demo,0.5740861194896385,0.05738438475514518,0.7854306962754992,0.8176106573182301,-0.13569541617888242,-0.007786797971518541,-0.0812680924740229,0.0,strict_global_min_dt,1
front,0.5740861194896385,0.05738438475514518,0.82,0.82,-0.3558521065639248,-0.020420354198993185,-0.20195766756670197,0.0,sub,1
lateral_demo,0.6314605652558114,0.0573744457661729,0.786170482635498,0.8174372226160491,-0.13475789698145213,-0.00773165965192584,-0.08899975212594874,0.0,strict_global_min_dt,1
front,0.6314605652558114,0.0573744457661729,0.82,0.82,-0.35593045961243713,-0.02042131285156277,-0.22237898041826473,0.0,sub,1
lateral_demo,0.6888265662710047,0.05736600101519329,0.7869353559282092,0.8172811060789394,-0.13391584779987736,-0.007682216660838235,-0.09668196878678698,0.0,strict_global_min_dt,1
front,0.6888265662710047,0.05736600101519329,0.82,0.82,-0.35579591523680654,-0.02041058883467627,-0.242789569252941,0.0,sub,1
lateral_demo,0.7461832530547445,0.05735668678373984,0.7877246273888483,0.8171417316091422,-0.13316558859818436,-0.007637936955598418,-0.1043199057423854,0.0,strict_global_min_dt,1
front,0.7461832530547445,0.05735668678373984,0.82,0.82,-0.3554440563707524,-0.020387093410399213,-0.2631766626633402,0.0,sub,1
lateral_demo,0.8035300381096233,0.05734678505487878,0.7885377142164444,0.8170177936974831,-0.13249960635902897,-0.007598426445727283,-0.11191833218811267,0.0,strict_global_min_dt,1
front,0.8035300381096233,0.05734678505487878,0.82,0.82,-0.35487826714626075,-0.020351127706684465,-0.2835277903700247,0.0,sub,1
lateral_demo,0.8608668749082601,0.05733683679863677,0.7893739276462132,0.81690845142588,-0.13191297884322406,-0.007563472939555963,-0.11948180512766864,0.0,strict_global_min_dt,1
front,0.8608668749082601,0.05733683679863677,0.82,0.82,-0.35409374254248416,-0.02030261512757692,-0.3038304054976016,0.0,sub,1
lateral_demo,0.9181940288196978,0.05732715391143772,0.790232711368137,0.8168131179220984,-0.13140221768441332,-0.0075329151574986064,-0.12701472028516725,0.0,strict_global_min_dt,1
front,0.9181940288196978,0.05732715391143772,0.82,0.82,-0.3530882804655049,-0.020241546198570888,-0.3240719516961725,0.0,sub,1
lateral_demo,0.9755118569096038,0.05731782808990604,0.7911133236355252,0.8167315833324151,-0.13096591024818474,-0.007506681529243517,-0.13452140181441077,0.0,strict_global_min_dt,1
front,0.9755118569096038,0.05731782808990604,0.82,0.82,-0.3518601096286078,-0.020167857275388036,-0.34423980897156053,0.0,sub,1
lateral_demo,1.03282041022556,0.05730855331595619,0.7920151551564535,0.8166636323614304,-0.13060266112040983,-0.007484649568024766,-0.14200605138243555,0.0,strict_global_min_dt,1
front,1.03282041022556,0.05730855331595619,0.82,0.82,-0.3504051585376711,-0.020081212710242206,-0.36432102168180275,0.0,sub,1
lateral_demo,1.0901197741258097,0.0572993639002497,0.7929376231299506,0.8166087174626125,-0.1303093454333596,-0.007466642603589413,-0.14947269398602497,0.0,strict_global_min_dt,1
front,1.0901197741258097,0.0572993639002497,0.82,0.82,-0.3487225088687503,-0.019981577935878576,-0.3843025996176813,0.0,sub,1
lateral_demo,1.1474101289566336,0.0572903548308239,0.7938799593183731,0.8165664435934795,-0.1300836987839066,-0.007452541261036024,-0.156925235247061,0.0,strict_global_min_dt,1
front,1.1474101289566336,0.0572903548308239,0.82,0.82,-0.346808454946748,-0.019868779442228996,-0.4041713790599103,0.0,sub,1
lateral_demo,1.2046917494660185,0.0572816205093849,0.7948415014478897,0.8165364456594862,-0.12992365689583868,-0.00744223760949896,-0.16436747285655998,0.0,strict_global_min_dt,1
front,1.2046917494660185,0.0572816205093849,0.82,0.82,-0.3446597855623174,-0.019742671041426643,-0.4239140501013369,0.0,sub,1
lateral_demo,1.2619652887350816,0.05727353926906309,0.7958216667175293,0.8165183325399373,-0.1298270534498043,-0.007435654843944119,-0.1718031277005041,0.0,strict_global_min_dt,1
front,1.2619652887350816,0.05727353926906309,0.82,0.82,-0.34227197109435176,-0.019603127177171983,-0.4435171772785089,0.0,sub,1
lateral_demo,1.3192316297031765,0.05726634096809491,0.7968197928534614,0.8165114786081387,-0.12979050534005615,-0.007432627333224999,-0.1792357550337291,0.0,strict_global_min_dt,1
front,1.3192316297031765,0.05726634096809491,0.82,0.82,-0.3398185486548073,-0.019460164874549345,-0.46297734215305825,0.0,sub,1
lateral_demo,1.3764915679577145,0.05725993825453801,0.7978354295094808,0.8165151968296578,-0.12981033206939596,-0.007432931599094688,-0.1866686866328238,0.0,strict_global_min_dt,1
front,1.3764915679577145,0.05725993825453801,0.82,0.82,-0.3371172760310127,-0.019303314410073835,-0.48228065656313207,0.0,sub,1
lateral_demo,1.4337457574187398,0.05725418946102523,0.7988678614298502,0.8165284417832912,-0.1298809665399798,-0.007436229465661082,-0.19410491609848488,0.0,strict_global_min_dt,1
front,1.4337457574187398,0.05725418946102523,0.82,0.82,-0.33416844324795947,-0.01913254336161453,-0.5014131999247466,0.0,sub,1
lateral_demo,1.4909951421927887,0.05724938477404895,0.7999164528316922,0.8165504943419871,-0.12999859980362072,-0.007442339860245087,-0.20154725595872997,0.0,strict_global_min_dt,1
front,1.4909951421927887,0.05724938477404895,0.82,0.82,-0.3309677577338967,-0.018947700510312068,-0.5203609004350587,0.0,sub,1
lateral_demo,1.5482404606930835,0.057245318500294795,0.8009804884592692,0.8165806277345155,-0.1301593954172842,-0.007451016046468245,-0.20899827200519822,0.0,strict_global_min_dt,1
front,1.5482404606930835,0.057245318500294795,0.82,0.82,-0.3275072997793456,-0.018748259687040168,-0.5391091601220989,0.0,sub,1
lateral_demo,1.6054820103019527,0.05724154960886918,0.8020593060387506,0.8166179532936321,-0.1303586611871797,-0.007461931771291716,-0.21646020377648995,0.0,strict_global_min_dt,1
front,1.6054820103019527,0.05724154960886918,0.82,0.82,-0.32378432544206737,-0.018533916527366343,-0.5576430766494652,0.0,sub,1
lateral_demo,1.662719793507114,0.057237783205161374,0.8031521373324925,0.8166616606530829,-0.13059212587560184,-0.0074748037891688435,-0.2239350075656588,0.0,strict_global_min_dt,1
front,1.662719793507114,0.057237783205161374,0.82,0.82,-0.3199750624618715,-0.01831466325625057,-0.5759577399057157,0.0,sub,1
lateral_demo,1.7199539518689224,0.05723415836180834,0.8042584525214301,0.8167115515513964,-0.13085879033330644,-0.007489592728971135,-0.2314246002946299,0.0,strict_global_min_dt,1
front,1.7199539518689224,0.05723415836180834,0.82,0.82,-0.3158989946284762,-0.01808021308490225,-0.594037952990618,0.0,sub,1
lateral_demo,1.7771847629911823,0.05723081112225992,0.8053775893317329,0.8167672408248344,-0.13115666090544484,-0.007506202087705805,-0.23893080238233572,0.0,strict_global_min_dt,1
front,1.7771847629911823,0.05723081112225992,0.82,0.82,-0.31155321588027174,-0.0178304432525765,-0.6118683962431946,0.0,sub,1
lateral_demo,1.834412238340512,0.05722747534932959,0.8065087530348037,0.8168280275085179,-0.13148205407910163,-0.007524386008691009,-0.24645518839102673,0.0,strict_global_min_dt,1
