link_id,time,dt_exchange,eta_1d,eta_2d,Q_exchange,dV_exchange,cumulative_dV,mass_error,mode,iteration_count
lateral_demo,0.04935574458165779,0.04935574458165779,0.7799999999999999,0.82,-0.14882941644715225,-0.007345586664402826,-0.007345586664402826,0.0,strict_global_min_dt,1
front,0.04935574458165779,0.04935574458165779,0.82,0.82,-0.34460284642078387,-0.017008130070056457,-0.017008130070056457,0.0,sub,1
lateral_demo,0.09871148916331558,0.04935574458165779,0.7804183695051407,0.8197870864312463,-0.14764270654318598,-0.007287015713490143,-0.014632602377892968,0.0,strict_global_min_dt,1
front,0.09871148916331558,0.04935574458165779,0.82,0.82,-0.3466661312472386,-0.017109965028950166,-0.03411809509900662,0.0,sub,1
lateral_demo,0.14806723374497338,0.0493557445816578,0.7808600001864964,0.8195849057681506,-0.14651875343457932,-0.007231542170939993,-0.02186414454883296,0.0,strict_global_min_dt,1
front,0.14806723374497338,0.0493557445816578,0.82,0.82,-0.34840315098347296,-0.01719569693138505,-0.05131379203039167,0.0,sub,1
lateral_demo,0.19742297832663117,0.049355744581657784,0.7813242276509603,0.8193919775847386,-0.14544890903924282,-0.007178739204221645,-0.029042883753054603,0.0,strict_global_min_dt,1
front,0.19742297832663117,0.049355744581657784,0.82,0.82,-0.3500194361031401,-0.01727546988692247,-0.06858926191731414,0.0,sub,1
lateral_demo,0.2467787227499211,0.04935574442328994,0.7818107075161405,0.8192076812294339,-0.14442937429458008,-0.007128419284898976,-0.03617130303795358,0.0,strict_global_min_dt,1
front,0.2467787227499211,0.04935574442328994,0.82,0.82,-0.35131784908545594,-0.017339553970801707,-0.08592881588811585,0.0,sub,1
lateral_demo,0.29613446166865215,0.049355738918731046,0.7823189364539253,0.8190318282474958,-0.14345877994596856,-0.0070805140886129134,-0.04325181712656649,0.0,strict_global_min_dt,1
front,0.29613446166865215,0.049355738918731046,0.82,0.82,-0.35250215231294424,-0.01739800419784844,-0.10332682008596429,0.0,sub,1
lateral_demo,0.34549018179194163,0.04935572012328948,0.7828485700819229,0.8188643861821929,-0.14253663812640893,-0.007034998418681632,-0.05028681554524812,0.0,strict_global_min_dt,1
front,0.34549018179194163,0.04935572012328948,0.82,0.82,-0.3533744767366229,-0.017441051772526632,-0.12076787185849092,0.0,sub,1
lateral_demo,0.39484585064200184,0.04935566885006021,0.7833990520901151,0.8187055988025241,-0.14166399270778246,-0.006991921112062655,-0.05727873665731078,0.0,strict_global_min_dt,1
front,0.39484585064200184,0.04935566885006021,0.82,0.82,-0.3541364857229151,-0.017478643117064274,-0.13824651497555518,0.0,sub,1
lateral_demo,0.4442014142271575,0.04935556358515564,0.7839700910780166,0.8185555622620373,-0.14084108213575436,-0.006951290984753352,-0.06423002764206413,0.0,strict_global_min_dt,1
front,0.4442014142271575,0.04935556358515564,0.82,0.82,-0.3547899618548115,-0.01751085852170009,-0.15575737349725527,0.0,sub,1
lateral_demo,0.49355678800244146,0.049355373775283984,0.7845613161722819,0.8184143248070718,-0.1400678937886314,-0.006913103251854681,-0.07114313089391881,0.0,strict_global_min_dt,1
front,0.49355678800244146,0.049355373775283984,0.82,0.82,-0.3551330506197982,-0.017527724453296988,-0.17328509795055225,0.0,sub,1
lateral_demo,0.542911852646582,0.04935506464414058,0.785172118080987,0.8182818513495801,-0.13934397353657665,-0.006877330821669155,-0.07802046171558796,0.0,strict_global_min_dt,1
front,0.542911852646582,0.04935506464414058,0.82,0.82,-0.3553708472404174,-0.01753935113819381,-0.19082444908874605,0.0,sub,1
lateral_demo,0.592266433702314,0.04935458105573198,0.7858022318945991,0.8181580249516989,-0.13866843794888298,-0.006843922660619886,-0.08486438437620784,0.0,strict_global_min_dt,1
front,0.592266433702314,0.04935458105573198,0.82,0.82,-0.35550245860772856,-0.017545674908867142,-0.20837012399761318,0.0,sub,1
lateral_demo,0.641620672358848,0.04935423865653399,0.7864512072669135,0.8180427223482364,-0.13804038864228302,-0.00681287828529194,-0.09167726266149978,0.0,strict_global_min_dt,1
front,0.641620672358848,0.04935423865653399,0.82,0.82,-0.355325659821399,-0.017536827415615738,-0.22590695141322892,0.0,sub,1
lateral_demo,0.6909745344594072,0.04935386210055914,0.7871185408698188,0.8179357543670442,-0.13745858811862618,-0.006784112202544234,-0.09846137486404402,0.0,strict_global_min_dt,1
front,0.6909745344594072,0.04935386210055914,0.82,0.82,-0.3550419772668405,-0.0175226927859375,-0.2434296441991664,0.0,sub,1
lateral_demo,0.7403277689204879,0.04935323446108075,0.7878038088480631,0.8178369717312344,-0.13692203578417306,-0.006757545334944781,-0.1052189201989888,0.0,strict_global_min_dt,1
front,0.7403277689204879,0.04935323446108075,0.82,0.82,-0.3546508562803457,-0.017503166861826954,-0.26093281106099336,0.0,sub,1
lateral_demo,0.7896800910474869,0.049352322126999026,0.7885067992740208,0.8177461302241538,-0.136429234633272,-0.006733099535161172,-0.11195201973414998,0.0,strict_global_min_dt,1
front,0.7896800910474869,0.049352322126999026,0.82,0.82,-0.3539499052573313,-0.017468249741080598,-0.27840106080207394,0.0,sub,1
lateral_demo,0.8390312042447263,0.049351113197239393,0.7892268498738607,0.8176629011819236,-0.13597825013996345,-0.006710678015019869,-0.11866269774916985,0.0,strict_global_min_dt,1
front,0.8390312042447263,0.049351113197239393,0.82,0.82,-0.35314211181580724,-0.017427956334934075,-0.29582901713700804,0.0,sub,1
lateral_demo,0.8883808103525879,0.04934960610786154,0.7899637222290039,0.8175870473368178,-0.13556766262547104,-0.006690210751530459,-0.1253529085007003,0.0,strict_global_min_dt,1
front,0.8883808103525879,0.04934960610786154,0.82,0.82,-0.35222675038750345,-0.017382251392275363,-0.3132112685292834,0.0,sub,1
lateral_demo,0.9377286153163156,0.049347804963727704,0.7907169395022923,0.8175182785903177,-0.13519578374596347,-0.006671615168214113,-0.1320245236689144,0.0,strict_global_min_dt,1
front,0.9377286153163156,0.049347804963727704,0.82,0.82,-0.35120237001732196,-0.017331066058413735,-0.3305423345876971,0.0,sub,1
lateral_demo,0.9870743197161832,0.04934570439986763,0.7914861308203803,0.8174564422686386,-0.1348616840215971,-0.006654844794598082,-0.13867936846351248,0.0,strict_global_min_dt,1
front,0.9870743197161832,0.04934570439986763,0.82,0.82,-0.35006616921109307,-0.01727426170628464,-0.34781659629398176,0.0,sub,1
lateral_demo,1.0364176287992037,0.04934330908302054,0.7922709782918295,0.8174013361692395,-0.13456417976643426,-0.006639841913718304,-0.14531921037723078,0.0,strict_global_min_dt,1
front,1.0364176287992037,0.04934330908302054,0.82,0.82,-0.3486132147238334,-0.01720172960454352,-0.3650183258985253,0.0,sub,1
lateral_demo,1.0857581368543072,0.04934050805510348,0.7930707666609024,0.8173527104649176,-0.1343018435177462,-0.006626521191902605,-0.15194573156913338,0.0,strict_global_min_dt,1
front,1.0857581368543072,0.04934050805510348,0.82,0.82,-0.34704864303650096,-0.017123556367255207,-0.3821418822657805,0.0,sub,1
lateral_demo,1.135094656227059,0.04933651937275174,0.7938852045271133,0.8173104039690583,-0.1340737383346945,-0.006614731588726903,-0.1585604631578603,0.0,strict_global_min_dt,1
front,1.135094656227059,0.04933651937275174,0.82,0.82,-0.34536945144077913,-0.01703932663176464,-0.39918120889754516,0.0,sub,1
lateral_demo,1.1844272987645206,0.04933264253746161,0.7947139475080703,0.8172742455846991,-0.13387888457379957,-0.006604599155993338,-0.16516506231385364,0.0,strict_global_min_dt,1
front,1.1844272987645206,0.04933264253746161,0.82,0.82,-0.3435769597967471,-0.016949559341760744,-0.4161307682393059,0.0,sub,1
lateral_demo,1.2337562715114943,0.049328972746973676,0.7955564922756619,0.8172440700664952,-0.13371634418206538,-0.006596089897982055,-0.1717611522118357,0.0,strict_global_min_dt,1
front,1.2337562715114943,0.049328972746973676,0.82,0.82,-0.3416634757995799,-0.01685390828635378,-0.4329846765256597,0.0,sub,1
lateral_demo,1.2830827919687369,0.04932652045724262,0.7964125739203559,0.817219703057908,-0.13358513936297645,-0.006589290109571464,-0.17835044232140715,0.0,strict_global_min_dt,1
front,1.2830827919687369,0.04932652045724262,0.82,0.82,-0.33942410109900933,-0.01674260986654147,-0.44972728639220116,0.0,sub,1
lateral_demo,1.3324065698343643,0.04932377786562747,0.7972816361321344,0.8172009340203132,-0.13348410624685678,-0.00658394040511178,-0.18493438272651894,0.0,strict_global_min_dt,1
front,1.3324065698343643,0.04932377786562747,0.82,0.82,-0.3370571559159687,-0.016624932286419404,-0.4663522186786206,0.0,sub,1
lateral_demo,1.3817277070649758,0.04932113723061149,0.7981631226009793,0.8171875495267024,-0.13341207352093512,-0.00658003518634647,-0.19151441791286541,0.0,strict_global_min_dt,1
front,1.3817277070649758,0.04932113723061149,0.82,0.82,-0.3345678527455665,-0.016501266978215103,-0.48285348565683567,0.0,sub,1
lateral_demo,1.4310464158297649,0.049318708764789054,0.7990566359625922,0.8171793953433615,-0.13336819565518176,-0.006577547200003315,-0.19809196511286872,0.0,strict_global_min_dt,1
front,1.4310464158297649,0.049318708764789054,0.82,0.82,-0.3319550981007049,-0.016371596806215645,-0.4992250824630513,0.0,sub,1
lateral_demo,1.48036292072916,0.0493165048993951,0.7999618053436279,0.8171762344519456,-0.1333511881129363,-0.00657641452191178,-0.20466837963478052,0.0,strict_global_min_dt,1
front,1.48036292072916,0.0493165048993951,0.82,0.82,-0.32921108848229935,-0.016235540258072508,-0.5154606227211238,0.0,sub,1
lateral_demo,1.5296773948936266,0.04931447416446666,0.8008783393436009,0.8171777802287576,-0.1333595052537191,-0.006576553876420586,-0.2112449335112011,0.0,strict_global_min_dt,1
front,1.5296773948936266,0.04931447416446666,0.82,0.82,-0.3263348142751335,-0.016093029767537098,-0.5315536524886609,0.0,sub,1
lateral_demo,1.5789899811339627,0.049312586240336076,0.8018059465620254,0.8171836882752231,-0.1333912954298561,-0.006577869759594926,-0.21782280327079603,0.0,strict_global_min_dt,1
front,1.5789899811339627,0.049312586240336076,0.82,0.82,-0.32311907595040384,-0.015933837298701993,-0.547487489787363,0.0,sub,1
lateral_demo,1.628300821226623,0.04931084009266029,0.802743885252211,0.8171935674284874,-0.13344445908729885,-0.006580258383305342,-0.22440306165410137,0.0,strict_global_min_dt,1
front,1.628300821226623,0.04931084009266029,0.82,0.82,-0.31976772097646544,-0.0157680149558649,-0.5632555047432278,0.0,sub,1
lateral_demo,1.6776100388147055,0.04930921758808249,0.8036917315589057,0.8172070794533837,-0.13351718410658558,-0.0065836278828596976,-0.23098668953696108,0.0,strict_global_min_dt,1
front,1.6776100388147055,0.04930921758808249,0.82,0.82,-0.31627749465075905,-0.015595395801947872,-0.5788509005451757,0.0,sub,1
lateral_demo,1.7269177817348114,0.04930774292010587,0.8046490616268582,0.8172240057915904,-0.13360830442782545,-0.00658792392671846,-0.23757461346367953,0.0,strict_global_min_dt,1
front,1.7269177817348114,0.04930774292010587,0.82,0.82,-0.3126485965941187,-0.015415996625194692,-0.5942668971703704,0.0,sub,1
lateral_demo,1.7762241666459488,0.04930638491113748,0.8056155840555826,0.8172440638923325,-0.13371631093168138,-0.006593067895694822,-0.24416768135937436,0.0,strict_global_min_dt,1
front,1.7762241666459488,0.04930638491113748,0.82,0.82,-0.3088775742677383,-0.015229636567263559,-0.6094965337376339,0.0,sub,1
lateral_demo,1.825529161205042,0.049304994559093096,0.8065908749898275,0.817266839613532,-0.133838986224749,-0.006598930487605785,-0.2507666118469801,0.0,strict_global_min_dt,1
front,1.825529161205042,0.049304994559093096,0.82,0.82,-0.30496201780080867,-0.015036150628398923,-0.6245326843660328,0.0,sub,1
lateral_demo,1.8748328175944784,0.04930365638943646,0.8075744840833877,0.8172919317394495,-0.13397418161405134,-0.006605417015355142,-0.2573720288623353,0.0,strict_global_min_dt,1
front,1.8748328175944784,0.04930365638943646,0.82,0.82,-0.30069364993196324,-0.014825296394731008,-0.6393579807607638,0.0,sub,1
lateral_demo,1.9241352546718986,0.049302437077420214,0.8085658020443387,0.8173189808196671,-0.13411997194725553,-0.0066124414777549295,-0.2639844703400902,0.0,strict_global_min_dt,1
front,1.9241352546718986,0.049302437077420214,0.82,0.82,-0.29627767956019607,-0.014607211653960636,-0.6539651924147244,0.0,sub,1
lateral_demo,1.9734365742377127,0.04930131956581407,0.8095643785264758,0.8173477497024063,-0.1342750897391929,-0.00661993910896031,-0.2706044094490505,0.0,strict_global_min_dt,1
front,1.9734365742377127,0.04930131956581407,0.82,0.82,-0.29171327523156565,-0.014381849403781692,-0.6683470418185061,0.0,sub,1
lateral_demo,2.022736827494427,0.049300253256714166,0.8105698691474067,0.8173779857204172,-0.08962545501503169,-0.004418557630489305,-0.2750229670795398,0.0,strict_global_min_dt,1
front,2.022736827494427,0.049300253256714166,0.82,0.82,-0.28699869497870056,-0.014149108346796398,-0.6824961501653025,0.0,sub,1
lateral_demo,2.072036199908135,0.0492993724137083,0.8115327623155383,0.8174735257342688,-0.043043121590948454,-0.002121998881160696,-0.27714496596070054,0.0,strict_global_min_dt,1
front,2.072036199908135,0.0492993724137083,0.82,0.82,-0.28213100066085234,-0.01390888127103154,-0.696405031436334,0.0,sub,1
lateral_demo,2.12133484510689,0.04929864519875471,0.8124507798088922,0.8176346669832358,-0.0415721598803889,-0.0020494511600891974,-0.27919441712078974,0.0,strict_global_min_dt,1
front,2.12133484510689,0.04929864519875471,0.82,0.82,-0.27710386258364317,-0.013660845004715505,-0.7100658764410496,0.0,sub,1
lateral_demo,2.1706325719024577,0.049297726795567876,0.8133730888366699,0.8177947000381826,-0.040062652569607685,-0.001974997701082275,-0.281169414821872,0.0,strict_global_min_dt,1
front,2.1706325719024577,0.049297726795567876,0.82,0.82,-0.2719149327783377,-0.013404788067741697,-0.7234706645087913,0.0,sub,1
