case_name,scenario_family,case_variant,scheduler_mode,exchange_interval,reference_policy,source_mode,wall_clock_seconds,simulated_duration,exchange_event_count,first_exchange_time,cumulative_exchange_volume,sign_flip_count,link_mass_closure_error,final_total_mass_error,normalized_mass_error,cumulative_mass_error,relative_cost_ratio,interval_over_t_arr_ref,interval_over_t_rise_ref,stage_rmse,discharge_rmse,peak_stage_error,peak_discharge_error,peak_time_error,arrival_time_error,phase_lag,hydrograph_NSE,max_depth_map_difference,arrival_time_map_difference,inundated_area_difference,wet_area_iou,wet_area_csi,first_exchange_offset_vs_arrival
frontal_basin_fill_strict_global_min_dt,frontal_basin_fill,mechanism,strict_global_min_dt,nan,strict_global_min_dt,synthetic,2.452428504009731,80.0,568,0.11024999618530273,530.790520297394,0,0.0,1251.6725832822515,0.43753152179368454,50042.610438176445,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.05512499845935962
frontal_basin_fill_yield_schedule,frontal_basin_fill,mechanism,yield_schedule,nan,strict_global_min_dt,synthetic,2.3124845559941605,80.0,8,14.4,526.1139497377446,0,0.0,1177.8623134527427,0.35489506800923065,44983.59381388419,0.9429365839669692,nan,nan,0.0006924801654971546,0.053284588624170875,0.0,0.05510086854057583,0.0,0.0,0.0,0.992196883036816,0.06877742156806743,0.0,0.0,1.0,1.0,14.344875002274057
frontal_basin_fill_fixed_interval_002s,frontal_basin_fill,mechanism,fixed_interval,2.0,strict_global_min_dt,synthetic,2.555583070963621,80.0,40,2.0,529.9798290002137,0,0.0,1244.8399338770034,0.4266472620046807,49628.536535569234,1.0420622117159508,36.28118063501984,22.675737746041495,0.0006020176882945668,0.012699091390824811,0.0,-0.016631112353373112,0.0,0.0,0.0,0.999556789358136,0.011701257733709336,0.0,0.0,1.0,1.0,1.9448750022740569
frontal_basin_fill_fixed_interval_005s,frontal_basin_fill,mechanism,fixed_interval,5.0,strict_global_min_dt,synthetic,1.8292941930703819,80.0,16,5.0,529.6460431827871,0,0.0,1230.4909624482818,0.40718184900484417,48533.84943156864,0.7459113242565392,90.7029515875496,56.68934436510374,0.0005463754301516973,0.038763328541705826,0.0,0.03699703362473006,0.0,0.0,0.0,0.9958704093250219,0.02210829928793112,0.0,0.0,1.0,1.0,4.944875002274057
frontal_basin_fill_fixed_interval_015s,frontal_basin_fill,mechanism,fixed_interval,15.0,strict_global_min_dt,synthetic,1.540391715010628,80.0,6,15.0,524.210730669926,0,0.0,1170.7021081875034,0.3509296479096357,44626.47072838457,0.6281087144812095,272.1088547626488,170.06803309531122,0.0006938847763581404,0.05389131715546941,0.0,0.054514687639010795,0.0,0.0,0.0,0.9920181699061009,0.07313343360272606,0.0,0.0,1.0,1.0,14.944875002274056
frontal_basin_fill_fixed_interval_060s,frontal_basin_fill,mechanism,fixed_interval,60.0,strict_global_min_dt,synthetic,1.1025766920065507,80.0,2,60.0,531.160562737304,0,0.0,974.5942607614782,0.21920003405140465,37041.29615914881,0.44958566180577053,1088.435419050595,680.2721323812449,0.0007093495209116806,0.055702161933874755,0.0,0.057386417446702254,0.0,0.0,0.0,0.9914727502044862,0.12384834389980548,0.0,0.0,1.0,1.0,59.94487500227406
frontal_basin_fill_fixed_interval_300s,frontal_basin_fill,mechanism,fixed_interval,300.0,strict_global_min_dt,synthetic,0.8407459689769894,80.0,1,80.0,471.0112693056161,0,0.0,747.1653420706109,0.17159793692069103,29886.613682824434,0.3428218060597347,5442.177095252976,3401.3606619062243,0.0007268183599956982,0.05843147184539624,0.0,0.057386417446702254,0.0,0.0,0.0,0.9906166366380538,0.18232313784731535,0.0,0.0,1.0,1.0,79.94487500227406
lateral_overtopping_return_strict_global_min_dt,lateral_overtopping_return,mechanism,strict_global_min_dt,nan,strict_global_min_dt,synthetic,0.7189971110783517,80.0,354,0.11024999618530273,56.933358665223935,0,0.0,-346.6378571994801,0.04530562785066514,12468.78083634001,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.11024999618530273
lateral_overtopping_return_yield_schedule,lateral_overtopping_return,mechanism,yield_schedule,nan,strict_global_min_dt,synthetic,0.3271035549696535,80.0,8,14.4,69.91178817518758,0,0.0,-344.329892138328,0.04565292492217083,12351.656506851252,0.45494418535154285,nan,nan,0.009598566347207956,0.1245927189800112,0.0,-0.0032966758758607995,0.0,0.0,0.0,0.9743339499246456,0.007146444343355873,0.0,0.0,1.0,1.0,14.4
lateral_overtopping_return_fixed_interval_002s,lateral_overtopping_return,mechanism,fixed_interval,2.0,strict_global_min_dt,synthetic,0.6919992620823905,80.0,40,2.0,58.307740918129454,0,0.0,-345.303061536581,0.04522433172099456,12424.868857565234,0.9624506850167035,nan,nan,0.0008460210871184556,0.027170036935169048,0.0,0.008939323861093307,0.0,0.0,0.0,0.9987794539548956,0.0012784635702193237,0.0,0.0,1.0,1.0,2.0
