t,stage_ref,stage_case,diff,threshold,ref_crossing_time,case_crossing_time,arrival_time_diff
0.0,0.98,0.98,0.0,0.98,0.0,0.0,0.0
0.5,0.9765166622574494,0.976458510756764,-5.815150068533281e-05,0.98,0.0,0.0,0.0
1.0,0.9732061538207618,0.97294665360312,-0.00025950021764176157,0.98,0.0,0.0,0.0
1.5,0.9700631241648267,0.9694717674929622,-0.0005913566718644958,0.98,0.0,0.0,0.0
2.0,0.9671014633796671,0.9660442060988541,-0.001057257280812962,0.98,0.0,0.0,0.0
2.5,0.9643113680252909,0.9626701256121415,-0.0016412424131494463,0.98,0.0,0.0,0.0
3.0,0.9616897404338858,0.9593560823591045,-0.002333658074781253,0.98,0.0,0.0,0.0
3.5,0.9592333575249535,0.9561060163752823,-0.003127341149671281,0.98,0.0,0.0,0.0
4.0,0.9569451308500813,0.9529283553453379,-0.004016775504743331,0.98,0.0,0.0,0.0
4.5,0.9548117838150687,0.9498302269386959,-0.004981556876372806,0.98,0.0,0.0,0.0
5.0,0.9528272303047577,0.9468164207768845,-0.00601080952787314,0.98,0.0,0.0,0.0
5.5,0.9509881323163394,0.9438875271203844,-0.007100605195955012,0.98,0.0,0.0,0.0
6.0,0.9492874719292246,0.9410389247157118,-0.008248547213512758,0.98,0.0,0.0,0.0
6.5,0.9477126025930552,0.9382596156918894,-0.009452986901165805,0.98,0.0,0.0,0.0
7.0,0.9462565822510437,0.9356093976990668,-0.010647184551976885,0.98,0.0,0.0,0.0
7.5,0.9449119366786475,0.9330232779094855,-0.011888658769162008,0.98,0.0,0.0,0.0
8.0,0.943664195603473,0.9305141336117994,-0.013150061991673678,0.98,0.0,0.0,0.0
8.5,0.9425055732819533,0.9281155186499641,-0.014390054631989169,0.98,0.0,0.0,0.0
9.0,0.9414262606870775,0.9257551486556496,-0.015671112031427903,0.98,0.0,0.0,0.0
9.5,0.940412952329716,0.9235236494432202,-0.016889302886495816,0.98,0.0,0.0,0.0
10.0,0.9394566696634541,0.9213138144583677,-0.018142855205086406,0.98,0.0,0.0,0.0
10.5,0.938547503097286,0.9192161477370263,-0.01933135536025965,0.98,0.0,0.0,0.0
