t,stage_ref,stage_case,diff,threshold,ref_crossing_time,case_crossing_time,arrival_time_diff
0.0,0.98,0.98,0.0,0.98,0.0,0.0,0.0
0.5,0.9765166622574494,0.9765166622574494,0.0,0.98,0.0,0.0,0.0
1.0,0.9732061538207618,0.9732061538207618,0.0,0.98,0.0,0.0,0.0
1.5,0.9700631241648267,0.9700631241648267,0.0,0.98,0.0,0.0,0.0
2.0,0.9671014633796671,0.9671014633796671,0.0,0.98,0.0,0.0,0.0
2.5,0.9643113680252909,0.9643113680252909,0.0,0.98,0.0,0.0,0.0
3.0,0.9616897404338858,0.9616897404338858,0.0,0.98,0.0,0.0,0.0
3.5,0.9592333575249535,0.9592333575249535,0.0,0.98,0.0,0.0,0.0
4.0,0.9569451308500813,0.9569451308500813,0.0,0.98,0.0,0.0,0.0
4.5,0.9548117838150687,0.9548117838150687,0.0,0.98,0.0,0.0,0.0
5.0,0.9528272303047577,0.9528272303047577,0.0,0.98,0.0,0.0,0.0
5.5,0.9509881323163394,0.9509881323163394,0.0,0.98,0.0,0.0,0.0
6.0,0.9492874719292246,0.9492874719292246,0.0,0.98,0.0,0.0,0.0
6.5,0.9477126025930552,0.9477126025930552,0.0,0.98,0.0,0.0,0.0
7.0,0.9462565822510437,0.9462565822510437,0.0,0.98,0.0,0.0,0.0
7.5,0.9449119366786475,0.9449119366786475,0.0,0.98,0.0,0.0,0.0
8.0,0.943664195603473,0.943664195603473,0.0,0.98,0.0,0.0,0.0
8.5,0.9425055732819533,0.9425055732819533,0.0,0.98,0.0,0.0,0.0
9.0,0.9414262606870775,0.9414262606870775,0.0,0.98,0.0,0.0,0.0
9.5,0.940412952329716,0.940412952329716,0.0,0.98,0.0,0.0,0.0
10.0,0.9394566696634541,0.9394566696634541,0.0,0.98,0.0,0.0,0.0
10.5,0.938547503097286,0.938547503097286,0.0,0.98,0.0,0.0,0.0
11.0,0.9376743161459692,0.9376743161459692,0.0,0.98,0.0,0.0,0.0
11.5,0.936829476658165,0.936829476658165,0.0,0.98,0.0,0.0,0.0
12.0,0.9360033295660681,0.9360033295660681,0.0,0.98,0.0,0.0,0.0
12.5,0.9351877580503278,0.9351877580503278,0.0,0.98,0.0,0.0,0.0
13.0,0.9343756576109785,0.9343756576109785,0.0,0.98,0.0,0.0,0.0
13.5,0.9335602541100937,0.9335602541100937,0.0,0.98,0.0,0.0,0.0
14.0,0.9327361293573051,0.9327361293573051,0.0,0.98,0.0,0.0,0.0
14.5,0.9318976917907218,0.9318976917907218,0.0,0.98,0.0,0.0,0.0
15.0,0.9310415173971365,0.9310415173971365,0.0,0.98,0.0,0.0,0.0
15.5,0.9301639930144971,0.9301639930144971,0.0,0.98,0.0,0.0,0.0
16.0,0.929261938690762,0.929261938690762,0.0,0.98,0.0,0.0,0.0
16.5,0.9283341305238451,0.9283341305238451,0.0,0.98,0.0,0.0,0.0
17.0,0.9273784189597072,0.9273784189597072,0.0,0.98,0.0,0.0,0.0
17.5,0.9263946073359816,0.9263946073359816,0.0,0.98,0.0,0.0,0.0
18.0,0.9253842845047912,0.9253842845047912,0.0,0.98,0.0,0.0,0.0
18.5,0.9243463846468087,0.9243463846468087,0.0,0.98,0.0,0.0,0.0
19.0,0.9232830687341358,0.9232830687341358,0.0,0.98,0.0,0.0,0.0
19.5,0.9221969088858376,0.9221969088858376,0.0,0.98,0.0,0.0,0.0
20.0,0.9210884402161418,0.9210884402161418,0.0,0.98,0.0,0.0,0.0
20.5,0.9199620241799333,0.9199620241799333,0.0,0.98,0.0,0.0,0.0
21.0,0.9188203440684686,0.9188203440684686,0.0,0.98,0.0,0.0,0.0
21.5,0.9176659102441467,0.9176659102441467,0.0,0.98,0.0,0.0,0.0
22.0,0.9165027306673816,0.9165027306673816,0.0,0.98,0.0,0.0,0.0
22.5,0.9153345582561734,0.9153345582561734,0.0,0.98,0.0,0.0,0.0
23.0,0.9141644166718187,0.9141644166718187,0.0,0.98,0.0,0.0,0.0
23.5,0.9129958630165352,0.9129958630165352,0.0,0.98,0.0,0.0,0.0
24.0,0.9118326073295062,0.9118326073295062,0.0,0.98,0.0,0.0,0.0
24.5,0.9106776278033332,0.9106776278033332,0.0,0.98,0.0,0.0,0.0
25.0,0.9095339731387717,0.9095339731387717,0.0,0.98,0.0,0.0,0.0
25.5,0.9084046105514871,0.9084046105514871,0.0,0.98,0.0,0.0,0.0
26.0,0.9072909454065399,0.9072909454065399,0.0,0.98,0.0,0.0,0.0
26.5,0.9061951655986172,0.9061951655986172,0.0,0.98,0.0,0.0,0.0
27.0,0.9051201411679266,0.9051201411679266,0.0,0.98,0.0,0.0,0.0
27.5,0.9040656349009677,0.9040656349009677,0.0,0.98,0.0,0.0,0.0
28.0,0.9030323823892368,0.9030323823892368,0.0,0.98,0.0,0.0,0.0
28.5,0.9020203680973075,0.9020203680973075,0.0,0.98,0.0,0.0,0.0
29.0,0.9010284347346851,0.9010284347346851,0.0,0.98,0.0,0.0,0.0
29.5,0.9000554840355355,0.9000554840355355,0.0,0.98,0.0,0.0,0.0
30.0,0.8990990775502526,0.8990990775502526,0.0,0.98,0.0,0.0,0.0
30.5,0.8981563447077083,0.8981563447077083,0.0,0.98,0.0,0.0,0.0
31.0,0.8972243512792021,0.8972243512792021,0.0,0.98,0.0,0.0,0.0
31.5,0.8962988513843274,0.8962988513843274,0.0,0.98,0.0,0.0,0.0
32.0,0.8953754706552854,0.8953754706552854,0.0,0.98,0.0,0.0,0.0
32.5,0.8944484790419016,0.8944484790419016,0.0,0.98,0.0,0.0,0.0
33.0,0.8935130738651821,0.8935130738651821,0.0,0.98,0.0,0.0,0.0
33.5,0.8925628329346603,0.8925628329346603,0.0,0.98,0.0,0.0,0.0
34.0,0.8915911306112202,0.8915911306112202,0.0,0.98,0.0,0.0,0.0
34.5,0.8905927751022061,0.8905927751022061,0.0,0.98,0.0,0.0,0.0
35.0,0.8895607852478774,0.8895607852478774,0.0,0.98,0.0,0.0,0.0
35.5,0.8884886467277687,0.8884886467277687,0.0,0.98,0.0,0.0,0.0
36.0,0.8873719329744723,0.8873719329744723,0.0,0.98,0.0,0.0,0.0
36.5,0.8862030383697778,0.8862030383697778,0.0,0.98,0.0,0.0,0.0
37.0,0.8849760850140179,0.8849760850140179,0.0,0.98,0.0,0.0,0.0
37.5,0.8836878676761489,0.8836878676761489,0.0,0.98,0.0,0.0,0.0
38.0,0.8823312381474114,0.8823312381474114,0.0,0.98,0.0,0.0,0.0
38.5,0.8809018889234885,0.8809018889234885,0.0,0.98,0.0,0.0,0.0
39.0,0.8793985066666435,0.8793985066666435,0.0,0.98,0.0,0.0,0.0
39.5,0.8778158184908031,0.8778158184908031,0.0,0.98,0.0,0.0,0.0
40.0,0.8761491935532163,0.8761491935532163,0.0,0.98,0.0,0.0,0.0
40.5,0.8743990979686779,0.8743990979686779,0.0,0.98,0.0,0.0,0.0
41.0,0.8725629195196161,0.8725629195196161,0.0,0.98,0.0,0.0,0.0
41.5,0.8706353665556251,0.8706353665556251,0.0,0.98,0.0,0.0,0.0
42.0,0.8686195742248397,0.8686195742248397,0.0,0.98,0.0,0.0,0.0
42.5,0.8665140390741883,0.8665140390741883,0.0,0.98,0.0,0.0,0.0
43.0,0.8643135274880803,0.8643135274880803,0.0,0.98,0.0,0.0,0.0
43.5,0.8620201637960743,0.8620201637960743,0.0,0.98,0.0,0.0,0.0
44.0,0.8596314269537757,0.8596314269537757,0.0,0.98,0.0,0.0,0.0
44.5,0.8571385313919537,0.8571385313919537,0.0,0.98,0.0,0.0,0.0
45.0,0.8545392099034439,0.8545392099034439,0.0,0.98,0.0,0.0,0.0
45.5,0.8518403682637217,0.8518403682637217,0.0,0.98,0.0,0.0,0.0
46.0,0.849046360065352,0.849046360065352,0.0,0.98,0.0,0.0,0.0
46.5,0.8461579955721226,0.8461579955721226,0.0,0.98,0.0,0.0,0.0
47.0,0.8431831755162333,0.8431831755162333,0.0,0.98,0.0,0.0,0.0
47.5,0.8401277989875494,0.8401277989875494,0.0,0.98,0.0,0.0,0.0
48.0,0.836996804677068,0.836996804677068,0.0,0.98,0.0,0.0,0.0
48.5,0.8337928300692221,0.8337928300692221,0.0,0.98,0.0,0.0,0.0
49.0,0.8305248096846534,0.8305248096846534,0.0,0.98,0.0,0.0,0.0
49.5,0.8271979082222795,0.8271979082222795,0.0,0.98,0.0,0.0,0.0
50.0,0.8238170861211388,0.8238170861211388,0.0,0.98,0.0,0.0,0.0
50.5,0.8203854283835703,0.8203854283835703,0.0,0.98,0.0,0.0,0.0
51.0,0.816910701134831,0.816910701134831,0.0,0.98,0.0,0.0,0.0
51.5,0.8133980089617636,0.8133980089617636,0.0,0.98,0.0,0.0,0.0
52.0,0.8098522789706057,0.8098522789706057,0.0,0.98,0.0,0.0,0.0
52.5,0.806278479114426,0.806278479114426,0.0,0.98,0.0,0.0,0.0
53.0,0.802682615857416,0.802682615857416,0.0,0.98,0.0,0.0,0.0
53.5,0.7990696411599586,0.7990696411599586,0.0,0.98,0.0,0.0,0.0
54.0,0.7954440899358763,0.7954440899358763,0.0,0.98,0.0,0.0,0.0
54.5,0.7918111881985443,0.7918111881985443,0.0,0.98,0.0,0.0,0.0
55.0,0.7881754069249736,0.7881754069249736,0.0,0.98,0.0,0.0,0.0
55.5,0.7845409678562362,0.7845409678562362,0.0,0.98,0.0,0.0,0.0
56.0,0.780912360324962,0.780912360324962,0.0,0.98,0.0,0.0,0.0
56.5,0.7772937582865821,0.7772937582865821,0.0,0.98,0.0,0.0,0.0
57.0,0.7736887189446093,0.7736887189446093,0.0,0.98,0.0,0.0,0.0
57.5,0.770101038696967,0.770101038696967,0.0,0.98,0.0,0.0,0.0
58.0,0.7665346703681674,0.7665346703681674,0.0,0.98,0.0,0.0,0.0
58.5,0.7629920313650562,0.7629920313650562,0.0,0.98,0.0,0.0,0.0
59.0,0.7594760955090196,0.7594760955090196,0.0,0.98,0.0,0.0,0.0
59.5,0.7559911027064624,0.7559911027064624,0.0,0.98,0.0,0.0,0.0
60.0,0.7525379930064405,0.7525379930064405,0.0,0.98,0.0,0.0,0.0
60.5,0.7491187829808519,0.7491187829808519,0.0,0.98,0.0,0.0,0.0
61.0,0.7457370254760776,0.7457370254760776,0.0,0.98,0.0,0.0,0.0
61.5,0.7423936612560927,0.7423936612560927,0.0,0.98,0.0,0.0,0.0
62.0,0.7390894493906757,0.7390894493906757,0.0,0.98,0.0,0.0,0.0
62.5,0.7358269049676863,0.7358269049676863,0.0,0.98,0.0,0.0,0.0
63.0,0.732607391072844,0.732607391072844,0.0,0.98,0.0,0.0,0.0
63.5,0.7294305886824412,0.7294305886824412,0.0,0.98,0.0,0.0,0.0
64.0,0.7262981957390461,0.7262981957390461,0.0,0.98,0.0,0.0,0.0
64.5,0.7232121112704847,0.7232121112704847,0.0,0.98,0.0,0.0,0.0
65.0,0.7201709816555839,0.7201709816555839,0.0,0.98,0.0,0.0,0.0
65.5,0.7171753460348946,0.7171753460348946,0.0,0.98,0.0,0.0,0.0
66.0,0.7142273219898834,0.7142273219898834,0.0,0.98,0.0,0.0,0.0
66.5,0.7113246798030615,0.7113246798030615,0.0,0.98,0.0,0.0,0.0
67.0,0.7084675008472766,0.7084675008472766,0.0,0.98,0.0,0.0,0.0
67.5,0.705657863544887,0.705657863544887,0.0,0.98,0.0,0.0,0.0
68.0,0.7028936163411278,0.7028936163411278,0.0,0.98,0.0,0.0,0.0
68.5,0.7001739617966963,0.7001739617966963,0.0,0.98,0.0,0.0,0.0
69.0,0.6975002639463261,0.6975002639463261,0.0,0.98,0.0,0.0,0.0
69.5,0.6948710747117051,0.6948710747117051,0.0,0.98,0.0,0.0,0.0
70.0,0.6922849544927508,0.6922849544927508,0.0,0.98,0.0,0.0,0.0
70.5,0.6897426035313591,0.6897426035313591,0.0,0.98,0.0,0.0,0.0
71.0,0.6872435856691149,0.6872435856691149,0.0,0.98,0.0,0.0,0.0
71.5,0.6847856815662033,0.6847856815662033,0.0,0.98,0.0,0.0,0.0
72.0,0.6823686061217995,0.6823686061217995,0.0,0.98,0.0,0.0,0.0
72.5,0.6799928435923702,0.6799928435923702,0.0,0.98,0.0,0.0,0.0
73.0,0.6776554648807068,0.6776554648807068,0.0,0.98,0.0,0.0,0.0
73.5,0.6753558122949274,0.6753558122949274,0.0,0.98,0.0,0.0,0.0
74.0,0.673095041809442,0.673095041809442,0.0,0.98,0.0,0.0,0.0
74.5,0.6708704654654997,0.6708704654654997,0.0,0.98,0.0,0.0,0.0
75.0,0.668680849042067,0.668680849042067,0.0,0.98,0.0,0.0,0.0
75.5,0.6665263838104882,0.6665263838104882,0.0,0.98,0.0,0.0,0.0
76.0,0.6644062128777046,0.6644062128777046,0.0,0.98,0.0,0.0,0.0
76.5,0.6623183172692599,0.6623183172692599,0.0,0.98,0.0,0.0,0.0
77.0,0.6602619524227745,0.6602619524227745,0.0,0.98,0.0,0.0,0.0
77.5,0.6582376748399875,0.6582376748399875,0.0,0.98,0.0,0.0,0.0
78.0,0.6562429556952799,0.6562429556952799,0.0,0.98,0.0,0.0,0.0
78.5,0.6542767689973036,0.6542767689973036,0.0,0.98,0.0,0.0,0.0
79.0,0.6523391396216928,0.6523391396216928,0.0,0.98,0.0,0.0,0.0
79.5,0.6504291226409783,0.6504291226409783,0.0,0.98,0.0,0.0,0.0
80.0,0.6485453844070435,0.6485453844070435,0.0,0.98,0.0,0.0,0.0
