case_name,scenario_family,case_variant,one_d_backend,mesh_variant,scheduler_mode,exchange_interval,reference_policy,source_mode,wall_clock_seconds,simulated_duration,exchange_event_count,first_exchange_time,cumulative_exchange_volume,sign_flip_count,link_mass_closure_error,final_total_mass_error,normalized_mass_error,cumulative_mass_error,relative_cost_ratio,interval_over_t_arr_ref,interval_over_t_rise_ref,stage_rmse,discharge_rmse,peak_stage_error,peak_discharge_error,peak_time_error,arrival_time_error,phase_lag,hydrograph_NSE,max_depth_map_difference,arrival_time_map_difference,inundated_area_difference,wet_area_iou,wet_area_csi,first_exchange_offset_vs_arrival
surrogate_test7_overtopping_only_variant_strict_global_min_dt,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,strict_global_min_dt,nan,strict_global_min_dt_plus_finest_practical_mesh,surrogate,1.43906414299272,120.0,395,0.11024998873472214,5173.932980798886,0,0.0,8189.309593045124,0.11004363915089596,578703.6718637045,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.11024998873472214
surrogate_test7_overtopping_only_variant_yield_schedule,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,yield_schedule,nan,strict_global_min_dt_plus_finest_practical_mesh,surrogate,0.918568374007009,120.0,8,21.6,5531.063840406903,0,0.0,7214.291854247836,0.08729473036839612,468915.6167589397,0.6383095419893704,nan,nan,0.25508248539676415,0.6022046872402724,0.0,0.11809627909214981,0.0,0.0,-33.5,0.9662665127250352,0.04674567355035719,0.0,0.0,1.0,1.0,21.6
surrogate_test7_overtopping_only_variant_fixed_interval_002s,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,fixed_interval,2.0,strict_global_min_dt_plus_finest_practical_mesh,surrogate,2.16906663402915,120.0,60,2.0,5176.186351451885,0,0.0,8107.872573813867,0.10816733009531919,569757.913467997,1.507275853262729,nan,nan,0.004656077273653277,0.036558711524113545,0.0,-0.009653884374738908,0.0,0.0,-0.5,0.9998756760675329,0.0020420227066597074,0.0,0.0,1.0,1.0,2.0
surrogate_test7_overtopping_only_variant_fixed_interval_003s,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,fixed_interval,3.0,strict_global_min_dt_plus_finest_practical_mesh,surrogate,1.4632581829791889,120.0,40,3.0,5180.997727296979,0,0.0,8069.022890295804,0.10712832043656575,564795.2751669479,1.016812343010753,nan,nan,0.008127940070078608,0.04440848438186028,0.0,0.02410931905875202,0.0,0.0,-1.0,0.9998165554222466,0.003417160515199358,0.0,0.0,1.0,1.0,3.0
surrogate_test7_overtopping_only_variant_fixed_interval_005s,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,fixed_interval,5.0,strict_global_min_dt_plus_finest_practical_mesh,surrogate,1.1408200340811163,120.0,24,5.0,5188.617175033683,0,0.0,7987.4033765760905,0.10503087080732847,554787.4021880866,0.7927513444318288,nan,nan,0.01722642247801704,0.07646845189955709,0.0,0.03860524557573797,0.0,0.0,-2.0,0.9994560768131926,0.005658816569911018,0.0,0.0,1.0,1.0,5.0
surrogate_test7_overtopping_only_variant_fixed_interval_010s,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,fixed_interval,10.0,strict_global_min_dt_plus_finest_practical_mesh,surrogate,0.9388894189614803,120.0,12,10.0,5237.114026969885,0,0.0,7778.574787398989,0.09981888047883514,529873.182238649,0.652430556020205,nan,nan,0.0703585321394015,0.18706533487143798,0.0,0.10081939850187993,0.0,0.0,-5.0,0.9967449354290836,0.0180709640789552,0.0,0.0,1.0,1.0,10.0
surrogate_test7_overtopping_only_variant_fixed_interval_015s,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,fixed_interval,15.0,strict_global_min_dt_plus_finest_practical_mesh,surrogate,1.0634838290279731,120.0,8,15.0,5354.383785232992,0,0.0,7557.449994896582,0.09467592457015175,505135.2800524848,0.7390107204091132,nan,nan,0.1472198447025547,0.3746786647476667,0.0,0.11729399086843273,0.0,0.0,-40.0,0.9869415718335774,0.03249603651886307,0.0,0.0,1.0,1.0,15.0
surrogate_test7_overtopping_only_variant_fixed_interval_030s,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,fixed_interval,30.0,strict_global_min_dt_plus_finest_practical_mesh,surrogate,0.9042247810866684,120.0,4,30.0,6864.358139423522,0,0.0,6787.927898396367,0.07826513447468926,423949.92253686377,0.6283422358132112,nan,nan,0.41412680950207936,1.0250248113559957,0.0,0.11809627909214981,0.0,0.0,-6.0,0.9022668869388937,0.05966864488410095,0.0,0.0,1.0,1.0,30.0
surrogate_test7_overtopping_only_variant_fixed_interval_060s,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,fixed_interval,60.0,strict_global_min_dt_plus_finest_practical_mesh,surrogate,0.6303479559719563,120.0,2,60.0,7158.941772828339,0,0.0,5397.885343152877,0.053437681592348255,295269.389811822,0.4380263096967076,nan,nan,0.6611251391315462,2.1151608713682473,0.0,0.11809627909214981,0.0,0.0,-5.0,0.5838405275770274,0.07605563065705909,0.0,0.0,1.0,1.0,60.0
surrogate_test7_overtopping_only_variant_fixed_interval_300s,surrogate_test7_overtopping_only_variant,surrogate_test7_overtopping_only_variant,fastest_exact,refined_figures,fixed_interval,300.0,strict_global_min_dt_plus_finest_practical_mesh,surrogate,0.6256554590072483,120.0,1,120.0,11895.39146717696,0,0.0,3278.2020420245753,0.03479916037302366,196692.12252147452,0.434765512054325,nan,nan,0.9242819287644122,1.6557142402189315,0.0,0.11809627909214981,0.0,0.0,7.0,0.7449979072025366,0.19181115429786033,0.0,0.0,1.0,1.0,120.0
frontal_basin_fill_strict_global_min_dt,frontal_basin_fill,mechanism,fastest_exact,refined_figures,strict_global_min_dt,nan,strict_global_min_dt,synthetic,2.3062530180905014,80.0,978,0.11024998873472214,517.5284346426727,0,0.0,1217.2954880964778,0.42847702268440824,48906.256595506784,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.055124994734069295
